"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31041","0","10","70","0","1990","A","","Custer County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",397,3490,48967316,0,0,270,14032,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-7,-1.7,59,1.7,3137768,6.8,-14853882,-100.0,-130166,-100.0,14,5.5,675,5.1
"31041","1","10","71","0","1990","A","","Custer County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,78,1632610,0,0,404,20998,"",3.31,0.75,0.88,0.00,0.00,1.17,1.17,"",2,25.0,2,2.6,130791,8.7,0,0.0,0,0.0,24,6.3,1238,6.3
"31041","1","102","72","0","1990","A","","Custer County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,78,1632610,0,0,404,20998,"",3.33,0.79,0.92,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","1021","73","0","1990","A","","Custer County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,44,1006430,0,0,437,22744,"",0.87,1.43,1.78,0.00,0.00,1.23,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","1028","73","0","1990","A","","Custer County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,25,501927,0,0,393,20417,"",4.49,0.47,0.52,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","48-49","74","0","1990","A","","Custer County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,44,1006430,0,0,437,22744,"",0.89,1.58,1.88,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","491","75","0","1990","A","","Custer County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,44,1006430,0,0,437,22744,"",0.91,1.66,2.00,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","4911","76","0","1990","A","","Custer County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,44,1006430,0,0,437,22744,"",0.91,1.66,2.00,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","49111","77","0","1990","A","","Custer County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,44,1006430,0,0,437,22744,"",0.91,1.66,2.00,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","491110","78","0","1990","A","","Custer County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,44,1006430,0,0,437,22744,"",0.91,1.66,2.00,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","92","74","0","1990","A","","Custer County, Nebraska","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,25,501927,0,0,393,20417,"",4.49,0.47,0.52,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","924","75","0","1990","A","","Custer County, Nebraska","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,17,345410,0,0,385,20024,"",4.86,4.65,5.36,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","9241","76","0","1990","A","","Custer County, Nebraska","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,17,345410,0,0,385,20024,"",4.86,4.65,5.36,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","92412","77","0","1990","A","","Custer County, Nebraska","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,17,345410,0,0,385,20024,"",4.93,5.36,6.49,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","924120","78","0","1990","A","","Custer County, Nebraska","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,17,345410,0,0,385,20024,"",4.93,5.36,6.49,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","926","75","0","1990","A","","Custer County, Nebraska","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,108604,0,0,374,19451,"",4.79,0.72,0.79,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","9261","76","0","1990","A","","Custer County, Nebraska","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,108604,0,0,374,19451,"",4.79,0.72,0.79,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","92614","77","0","1990","A","","Custer County, Nebraska","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,2,78687,0,0,757,39344,"",5.57,1.20,2.54,0.00,0.00,2.11,2.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","926140","78","0","1990","A","","Custer County, Nebraska","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,2,78687,0,0,757,39344,"",5.57,1.20,2.54,0.00,0.00,2.11,2.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31041","1","928","75","0","1990","A","","Custer County, Nebraska","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,2,47913,0,0,527,27379,"",13.16,0.08,0.11,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
