"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"32000","0","10","50","0","1990","A","","Nevada -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",29195,617030,13795279149,0,0,430,22358,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",942,3.3,37133,6.4,1424360062,11.5,-6031342050,-100.0,-89042060,-100.0,20,4.9,1026,4.8
"32000","1","10","51","0","1990","A","","Nevada -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",290,12341,375719742,0,0,585,30444,"",1.30,0.68,0.72,0.00,0.00,1.06,1.06,"",9,3.2,573,4.9,31902433,9.3,0,0.0,0,0.0,24,4.3,1228,4.2
"32000","1","102","52","0","1990","A","","Nevada -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",286,12158,371224575,0,0,587,30534,"",1.29,0.69,0.74,0.00,0.00,1.06,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","1021","53","0","1990","A","","Nevada -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",71,3795,117326207,0,0,595,30919,"",0.84,0.70,0.74,0.00,0.00,1.06,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","1023","53","0","1990","A","","Nevada -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",7,29,616632,0,0,416,21636,"",0.78,0.14,0.10,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","1024","53","0","1990","A","","Nevada -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",8,119,4256823,0,0,691,35923,"",1.56,0.30,0.38,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","1025","53","0","1990","A","","Nevada -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",5,1290,35759409,0,0,533,27719,"",2.22,0.86,0.82,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","1026","53","0","1990","A","","Nevada -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",5,279,6041000,0,0,416,21652,"",1.19,0.75,1.17,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","1028","53","0","1990","A","","Nevada -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",189,6644,207146896,0,0,600,31179,"",1.65,0.70,0.76,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32000","1","44-45","54","0","1990","A","","Nevada -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",2,445,4807885,0,0,208,10810,"",1.42,1.15,1.05,0.00,0.00,0.92,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
