"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"33005","0","10","70","0","1990","A","","Cheshire County, New Hampshire","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1952,28232,588489254,0,0,401,20845,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",99,5.3,-1192,-4.1,3786749,0.6,-180859288,-100.0,-1234175,-100.0,19,5.0,974,4.9
"33005","1","10","71","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,195,5284208,0,0,520,27064,"",1.82,0.23,0.24,0.00,0.00,1.01,1.01,"",6,28.6,0,0.0,339079,6.9,0,0.0,0,0.0,33,6.8,1705,6.7
"33005","1","102","72","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,195,5284208,0,0,520,27064,"",1.83,0.24,0.25,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","1021","73","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,173,4633665,0,0,516,26849,"",2.82,0.70,0.68,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","1023","73","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,4,101285,0,0,519,27009,"",3.35,0.43,0.39,0.00,0.00,0.96,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","1028","73","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,19,549258,0,0,558,29036,"",1.17,0.04,0.05,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","48-49","74","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,173,4633665,0,0,516,26849,"",2.91,0.77,0.72,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","491","75","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,173,4633665,0,0,516,26849,"",2.97,0.81,0.77,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","4911","76","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,173,4633665,0,0,516,26849,"",2.97,0.81,0.77,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33005","1","49111","77","0","1990","A","","Cheshire County, New Hampshire","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,173,4633665,0,0,516,26849,"",2.97,0.81,0.77,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
