"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"34013","0","10","70","0","1990","A","","Essex County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",18878,379600,11439706820,0,0,580,30136,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-79,-0.4,-4977,-1.3,490290029,4.5,-3588154795,-100.0,-70099360,-100.0,33,6.0,1665,5.8
"34013","1","10","71","0","1990","A","","Essex County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",60,10301,358795101,0,0,670,34831,"",0.42,0.92,0.83,0.00,0.00,0.90,0.90,"",1,1.7,-484,-4.5,16068896,4.7,0,0.0,0,0.0,59,9.7,3053,9.6
"34013","1","102","72","0","1990","A","","Essex County, New Jersey","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",60,10301,358795101,0,0,670,34831,"",0.42,0.96,0.86,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","1021","73","0","1990","A","","Essex County, New Jersey","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,4550,151677908,0,0,641,33338,"",0.31,1.36,1.15,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","1024","73","0","1990","A","","Essex County, New Jersey","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,9,289999,0,0,625,32523,"",0.30,0.04,0.03,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","1025","73","0","1990","A","","Essex County, New Jersey","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,2223,83808358,0,0,725,37696,"",2.06,2.41,2.31,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","1026","73","0","1990","A","","Essex County, New Jersey","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,41,929511,0,0,432,22488,"",0.37,0.18,0.22,0.00,0.00,1.19,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","1028","73","0","1990","A","","Essex County, New Jersey","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",38,3478,122089325,0,0,675,35106,"",0.51,0.60,0.54,0.00,0.00,0.90,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","48-49","74","0","1990","A","","Essex County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",17,4550,151677908,0,0,641,33338,"",0.32,1.50,1.21,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34013","1","491","75","0","1990","A","","Essex County, New Jersey","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,4550,151677908,0,0,641,33338,"",0.33,1.58,1.29,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
