"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35000","0","10","50","0","1990","A","","New Mexico -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",37041,560652,10845550402,0,0,372,19345,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1108,3.1,19706,3.6,747587730,7.4,-3852763427,-100.0,-70560690,-100.0,14,3.9,678,3.6
"35000","1","10","51","0","1990","A","","New Mexico -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",496,31804,904993837,0,0,547,28455,"",1.76,1.92,2.19,0.00,0.00,1.15,1.15,"",32,6.9,291,0.9,68722853,8.2,0,0.0,0,0.0,37,7.3,1918,7.2
"35000","1","102","52","0","1990","A","","New Mexico -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",495,31796,904761188,0,0,547,28455,"",1.77,2.00,2.29,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1021","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",40,4588,119519088,0,0,501,26049,"",0.37,0.93,0.95,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1023","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",30,391,5798506,0,0,285,14833,"",2.65,2.09,1.20,0.00,0.00,0.57,0.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1024","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Professional and business services","State, by Supersector -- by ownership sector","All establishment sizes",20,408,13020354,0,0,614,31926,"",3.08,1.12,1.46,0.00,0.00,1.31,1.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1025","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Education and health services","State, by Supersector -- by ownership sector","All establishment sizes",22,5372,148014067,0,0,530,27552,"",7.68,3.94,4.29,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1026","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Leisure and hospitality","State, by Supersector -- by ownership sector","All establishment sizes",23,1149,18267322,0,0,306,15894,"",4.30,3.40,4.49,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1027","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Other services","State, by Supersector -- by ownership sector","All establishment sizes",6,1003,24323869,0,0,466,24243,"",7.86,17.69,30.03,0.00,0.00,1.70,1.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","1028","53","0","1990","A","","New Mexico -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",354,18885,575817982,0,0,586,30491,"",2.43,2.20,2.69,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","44-45","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",4,662,5932580,0,0,172,8967,"",2.24,1.88,1.64,0.00,0.00,0.87,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","445","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Food and beverage stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",0,1,9268,0,0,134,6951,"",0.00,0.04,0.02,0.00,0.00,0.35,0.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","452","55","0","1990","A","","New Mexico -- Statewide","Federal Government","General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,660,5923312,0,0,173,8971,"",2.68,2.00,1.88,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","4521","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Department stores","State, NAICS 4-digit -- by ownership sector","All establishment sizes",4,660,5923312,0,0,173,8971,"",5.90,3.52,3.32,0.00,0.00,0.95,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","45211","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Department stores","State, NAICS 5-digit -- by ownership sector","All establishment sizes",4,660,5923312,0,0,173,8971,"",5.90,3.52,3.32,0.00,0.00,0.95,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","452111","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Department stores, except discount","State, NAICS 6-digit -- by ownership sector","All establishment sizes",4,660,5923312,0,0,173,8971,"",9.78,5.61,5.44,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","48-49","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Transportation and warehousing","State, NAICS Sector -- by ownership sector","All establishment sizes",34,3909,113021687,0,0,556,28917,"",0.33,0.87,0.95,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","488","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Support activities for transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,267,2320361,0,0,167,8690,"",0.54,1.72,0.42,0.00,0.00,0.24,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","4881","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Support activities for air transportation","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,267,2320361,0,0,167,8690,"",0.55,1.79,0.43,0.00,0.00,0.24,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","48811","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Airport operations","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,267,2320361,0,0,167,8690,"",0.55,1.79,0.43,0.00,0.00,0.24,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","488119","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Other airport operations","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,267,2320361,0,0,167,8690,"",32.75,36.37,41.85,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","491","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Postal service","State, NAICS 3-digit -- by ownership sector","All establishment sizes",33,3642,110701326,0,0,585,30400,"",0.32,0.86,0.99,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","4911","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Postal service","State, NAICS 4-digit -- by ownership sector","All establishment sizes",33,3642,110701326,0,0,585,30400,"",0.32,0.86,0.99,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","49111","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Postal service","State, NAICS 5-digit -- by ownership sector","All establishment sizes",33,3642,110701326,0,0,585,30400,"",0.32,0.86,0.99,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","491110","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Postal service","State, NAICS 6-digit -- by ownership sector","All establishment sizes",33,3642,110701326,0,0,585,30400,"",0.32,0.86,0.99,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","52","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Finance and insurance","State, NAICS Sector -- by ownership sector","All establishment sizes",29,150,3842170,0,0,491,25544,"",2.57,0.82,0.80,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","522","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Credit intermediation and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",28,149,3798979,0,0,489,25425,"",2.89,2.16,2.68,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","5222","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Nondepository credit intermediation","State, NAICS 4-digit -- by ownership sector","All establishment sizes",27,127,3442398,0,0,520,27035,"",2.79,1.84,2.44,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","52229","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Other nondepository credit intermediation","State, NAICS 5-digit -- by ownership sector","All establishment sizes",27,127,3442398,0,0,520,27035,"",2.79,1.84,2.44,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","522292","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Real estate credit","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,55905,0,0,1075,55905,"",0.23,0.03,0.09,0.00,0.00,2.80,2.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","522294","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Secondary market financing","State, NAICS 6-digit -- by ownership sector","All establishment sizes",26,126,3386493,0,0,516,26806,"",12.06,10.66,15.51,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","524","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Insurance carriers and related activities","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,43191,0,0,831,43191,"",0.65,0.01,0.02,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","53","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Real estate and rental and leasing","State, NAICS Sector -- by ownership sector","All establishment sizes",1,241,1956336,0,0,156,8134,"",20.47,73.17,46.12,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","532","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Rental and leasing services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,241,1956336,0,0,156,8134,"",163.77,150.59,134.78,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","5322","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Consumer goods rental","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,241,1956336,0,0,156,8134,"",163.77,150.59,134.78,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","53229","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Other consumer goods rental","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,241,1956336,0,0,156,8134,"",163.77,150.59,134.78,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","532292","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Recreational goods rental","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,241,1956336,0,0,156,8134,"",163.77,150.59,134.78,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","54","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Professional and technical services","State, NAICS Sector -- by ownership sector","All establishment sizes",20,408,13020354,0,0,614,31926,"",3.16,1.17,1.48,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","541","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Professional and technical services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",20,408,13020354,0,0,614,31926,"",3.16,1.17,1.48,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","5413","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Architectural and engineering services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",14,360,11125937,0,0,595,30927,"",4.26,1.82,2.18,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","54133","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Engineering services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",14,360,11125937,0,0,595,30927,"",4.37,1.84,2.20,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","541330","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Engineering services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",14,360,11125937,0,0,595,30927,"",4.37,1.84,2.20,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","5416","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Management and technical consulting services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3,37,1564718,0,0,821,42674,"",6.14,6.74,9.88,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","54161","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Management consulting services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",3,37,1564718,0,0,821,42674,"",40.94,57.80,83.19,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","61","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Educational services","State, NAICS Sector -- by ownership sector","All establishment sizes",6,1627,35929565,0,0,425,22084,"",25.20,25.63,27.58,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","611","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Educational services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,1627,35929565,0,0,425,22084,"",25.20,25.63,27.58,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","62","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Health care and social assistance","State, NAICS Sector -- by ownership sector","All establishment sizes",16,3745,112084502,0,0,576,29927,"",6.11,2.88,3.38,0.00,0.00,1.18,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","621","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Ambulatory health care services","State, NAICS 3-digit -- by ownership sector","All establishment sizes",9,251,6481167,0,0,496,25787,"",13.04,12.14,13.05,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","6214","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Outpatient care centers","State, NAICS 4-digit -- by ownership sector","All establishment sizes",9,251,6481167,0,0,496,25787,"",46.06,24.35,24.88,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","62149","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Other outpatient care centers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",9,251,6481167,0,0,496,25787,"",50.82,30.91,31.72,0.00,0.00,1.03,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","621491","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Hmo medical centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",9,251,6481167,0,0,496,25787,"",163.77,193.71,236.37,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","622","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Hospitals","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,3461,105361446,0,0,585,30445,"",3.67,2.75,3.26,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","6221","56","0","1990","A","","New Mexico -- Statewide","Federal Government","General medical and surgical hospitals","State, NAICS 4-digit -- by ownership sector","All establishment sizes",6,3461,105361446,0,0,585,30445,"",3.84,2.85,3.37,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","62211","57","0","1990","A","","New Mexico -- Statewide","Federal Government","General medical and surgical hospitals","State, NAICS 5-digit -- by ownership sector","All establishment sizes",6,3461,105361446,0,0,585,30445,"",3.84,2.85,3.37,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","622110","58","0","1990","A","","New Mexico -- Statewide","Federal Government","General medical and surgical hospitals","State, NAICS 6-digit -- by ownership sector","All establishment sizes",6,3461,105361446,0,0,585,30445,"",3.84,2.85,3.37,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","624","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Social assistance","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1,33,241889,0,0,140,7275,"",3.81,2.70,1.74,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","6244","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Child day care services","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,33,241889,0,0,140,7275,"",12.60,13.99,13.34,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","62441","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Child day care services","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,33,241889,0,0,140,7275,"",12.60,13.99,13.34,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","624410","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Child day care services","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,33,241889,0,0,140,7275,"",12.60,13.99,13.34,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","71","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Arts, entertainment, and recreation","State, NAICS Sector -- by ownership sector","All establishment sizes",16,650,14293971,0,0,423,22008,"",4.84,3.04,4.73,0.00,0.00,1.55,1.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","712","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Museums, historical sites, zoos, and parks","State, NAICS 3-digit -- by ownership sector","All establishment sizes",13,511,13007736,0,0,490,25460,"",6.01,4.57,6.25,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","7121","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Museums, historical sites, zoos, and parks","State, NAICS 4-digit -- by ownership sector","All establishment sizes",13,511,13007736,0,0,490,25460,"",6.01,4.57,6.25,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","71219","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Nature parks and other similar institutions","State, NAICS 5-digit -- by ownership sector","All establishment sizes",13,511,13007736,0,0,490,25460,"",6.82,6.58,9.80,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","712190","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Nature parks and other similar institutions","State, NAICS 6-digit -- by ownership sector","All establishment sizes",13,511,13007736,0,0,490,25460,"",6.82,6.58,9.80,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","713","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Amusements, gambling, and recreation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,139,1286235,0,0,178,9281,"",2.74,1.49,1.53,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","7139","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Other amusement and recreation industries","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3,139,1286235,0,0,178,9281,"",2.74,1.49,1.53,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","71394","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Fitness and recreational sports centers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,125,1186420,0,0,183,9504,"",6.55,4.05,4.33,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","713940","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Fitness and recreational sports centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",2,125,1186420,0,0,183,9504,"",6.55,4.05,4.33,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","71395","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Bowling centers","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,99815,0,0,140,7259,"",10.24,7.60,6.58,0.00,0.00,0.89,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","713950","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Bowling centers","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,99815,0,0,140,7259,"",10.24,7.60,6.58,0.00,0.00,0.89,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","72","54","0","1990","A","","New Mexico -- Statewide","Federal Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",7,500,3973351,0,0,153,7949,"",3.43,4.02,3.79,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","721","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Accommodation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",4,143,1216703,0,0,163,8484,"",5.37,4.21,4.32,0.00,0.00,1.03,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","7211","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Traveler accommodation","State, NAICS 4-digit -- by ownership sector","All establishment sizes",1,60,569954,0,0,182,9486,"",3.48,2.89,3.12,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","72111","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Hotels and motels, except casino hotels","State, NAICS 5-digit -- by ownership sector","All establishment sizes",1,60,569954,0,0,182,9486,"",4.20,3.10,3.28,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","721110","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Hotels and motels, except casino hotels","State, NAICS 6-digit -- by ownership sector","All establishment sizes",1,60,569954,0,0,182,9486,"",4.20,3.10,3.28,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","7213","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Rooming and boarding houses","State, NAICS 4-digit -- by ownership sector","All establishment sizes",3,83,646749,0,0,149,7761,"",6.64,6.27,6.54,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","72131","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Rooming and boarding houses","State, NAICS 5-digit -- by ownership sector","All establishment sizes",3,83,646749,0,0,149,7761,"",6.64,6.27,6.54,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","721310","58","0","1990","A","","New Mexico -- Statewide","Federal Government","Rooming and boarding houses","State, NAICS 6-digit -- by ownership sector","All establishment sizes",3,83,646749,0,0,149,7761,"",6.64,6.27,6.54,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","722","55","0","1990","A","","New Mexico -- Statewide","Federal Government","Food services and drinking places","State, NAICS 3-digit -- by ownership sector","All establishment sizes",3,356,2756648,0,0,149,7734,"",2.31,3.93,3.59,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","7221","56","0","1990","A","","New Mexico -- Statewide","Federal Government","Full-service restaurants","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,150,1062604,0,0,136,7072,"",5.12,5.19,4.66,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35000","1","72211","57","0","1990","A","","New Mexico -- Statewide","Federal Government","Full-service restaurants","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,150,1062604,0,0,136,7072,"",5.12,5.19,4.66,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
