"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35011","0","10","70","0","1990","A","","De Baca County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",103,465,5895950,0,0,244,12691,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,7.3,14,3.1,381061,6.9,-2068547,-100.0,-38974,-100.0,9,3.8,463,3.8
"35011","1","10","71","0","1990","A","","De Baca County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,18,369996,0,0,393,20461,"",8.93,1.31,1.65,0.00,0.00,1.25,1.26,"",1,16.7,1,5.9,9366,2.6,0,0.0,0,0.0,-14,-3.4,-752,-3.5
"35011","1","102","72","0","1990","A","","De Baca County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,18,369996,0,0,393,20461,"",8.98,1.36,1.73,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","1021","73","0","1990","A","","De Baca County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,125491,0,0,311,16192,"",3.34,1.95,1.84,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","1028","73","0","1990","A","","De Baca County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,8,194639,0,0,449,23357,"",12.35,1.12,1.67,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","48-49","74","0","1990","A","","De Baca County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,125491,0,0,311,16192,"",3.45,2.15,1.95,0.00,0.00,0.93,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","491","75","0","1990","A","","De Baca County, New Mexico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,125491,0,0,311,16192,"",3.52,2.26,2.07,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","4911","76","0","1990","A","","De Baca County, New Mexico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,125491,0,0,311,16192,"",3.52,2.26,2.07,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","49111","77","0","1990","A","","De Baca County, New Mexico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,125491,0,0,311,16192,"",3.52,2.26,2.07,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35011","1","491110","78","0","1990","A","","De Baca County, New Mexico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,125491,0,0,311,16192,"",3.52,2.26,2.07,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
