"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36011","0","10","70","0","1990","A","","Cayuga County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1583,23927,478545861,0,0,385,20000,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,0.6,-223,-0.9,28651189,6.4,-118892689,-100.0,-2440856,-100.0,27,7.5,1371,7.4
"36011","1","10","71","0","1990","A","","Cayuga County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,147,3975084,0,0,522,27134,"",1.49,0.21,0.22,0.00,0.00,1.06,1.06,"",1,5.9,12,8.9,414646,11.6,0,0.0,0,0.0,15,3.0,761,2.9
"36011","1","102","72","0","1990","A","","Cayuga County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,147,3975084,0,0,522,27134,"",1.50,0.22,0.23,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","1021","73","0","1990","A","","Cayuga County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,99,3043632,0,0,593,30822,"",2.39,0.47,0.55,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","1028","73","0","1990","A","","Cayuga County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,48,931452,0,0,375,19507,"",1.12,0.13,0.10,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","48-49","74","0","1990","A","","Cayuga County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,99,3043632,0,0,593,30822,"",2.47,0.52,0.58,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","491","75","0","1990","A","","Cayuga County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,99,3043632,0,0,593,30822,"",2.52,0.54,0.62,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","4911","76","0","1990","A","","Cayuga County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,99,3043632,0,0,593,30822,"",2.52,0.54,0.62,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","49111","77","0","1990","A","","Cayuga County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,99,3043632,0,0,593,30822,"",2.52,0.54,0.62,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","491110","78","0","1990","A","","Cayuga County, New York","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,99,3043632,0,0,593,30822,"",2.52,0.54,0.62,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","92","74","0","1990","A","","Cayuga County, New York","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,48,931452,0,0,375,19507,"",1.12,0.13,0.10,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","923","75","0","1990","A","","Cayuga County, New York","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,314623,0,0,605,31462,"",2.04,0.33,0.37,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","9231","76","0","1990","A","","Cayuga County, New York","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,314623,0,0,605,31462,"",2.04,0.33,0.37,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","92313","77","0","1990","A","","Cayuga County, New York","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,314623,0,0,605,31462,"",2.78,0.58,0.70,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","923130","78","0","1990","A","","Cayuga County, New York","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,314623,0,0,605,31462,"",2.78,0.58,0.70,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","926","75","0","1990","A","","Cayuga County, New York","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,38,616829,0,0,314,16340,"",2.40,0.66,0.46,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","9261","76","0","1990","A","","Cayuga County, New York","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,38,616829,0,0,314,16340,"",2.40,0.66,0.46,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","92611","77","0","1990","A","","Cayuga County, New York","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,19,205875,0,0,210,10931,"",1.33,0.64,0.43,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","926110","78","0","1990","A","","Cayuga County, New York","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,19,205875,0,0,210,10931,"",1.33,0.64,0.43,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","92614","77","0","1990","A","","Cayuga County, New York","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,19,410954,0,0,418,21724,"",3.49,1.67,1.36,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","1","926140","78","0","1990","A","","Cayuga County, New York","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,19,410954,0,0,418,21724,"",3.49,1.67,1.36,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36011","2","10","71","0","1990","A","","Cayuga County, New York","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,1591,50696380,0,0,613,31864,"",0.68,1.82,2.63,0.00,0.00,1.45,1.45,"",0,0.0,117,7.9,5816626,13.0,0,0.0,0,0.0,28,4.8,1417,4.7
