"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36065","0","10","70","0","1990","A","","Oneida County, New York","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",5273,105072,2190121178,0,0,401,20844,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",139,2.7,1346,1.3,134306845,6.5,-494975444,-100.0,-9431107,-100.0,20,5.2,1025,5.2
"36065","1","10","71","0","1990","A","","Oneida County, New York","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",54,4373,114894797,0,0,505,26273,"",1.35,1.41,1.38,0.00,0.00,0.98,0.98,"",1,1.9,150,3.6,-5506821,-4.6,0,0.0,0,0.0,-43,-7.8,-2237,-7.8
"36065","1","102","72","0","1990","A","","Oneida County, New York","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",54,4373,114894797,0,0,505,26273,"",1.35,1.47,1.44,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","1021","73","0","1990","A","","Oneida County, New York","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,852,23901314,0,0,539,28039,"",1.83,0.92,0.94,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","1026","73","0","1990","A","","Oneida County, New York","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",4,246,2174495,0,0,170,8857,"",5.26,3.88,2.64,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","1028","73","0","1990","A","","Oneida County, New York","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",22,3275,88818988,0,0,522,27118,"",1.06,2.03,2.06,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","48-49","74","0","1990","A","","Oneida County, New York","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",27,698,22575731,0,0,622,32351,"",1.82,0.83,0.94,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","491","75","0","1990","A","","Oneida County, New York","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",27,698,22575731,0,0,622,32351,"",1.85,0.87,1.00,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","4911","76","0","1990","A","","Oneida County, New York","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",27,698,22575731,0,0,622,32351,"",1.85,0.87,1.00,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36065","1","49111","77","0","1990","A","","Oneida County, New York","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",27,698,22575731,0,0,622,32351,"",1.85,0.87,1.00,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
