"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37165","0","10","70","0","1990","A","","Scotland County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",625,15616,289867506,0,0,357,18563,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",34,5.8,-46,-0.3,14306061,5.2,-128232107,-100.0,-1701184,-100.0,19,5.6,969,5.5
"37165","1","10","71","0","1990","A","","Scotland County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,73,1620906,0,0,429,22306,"",2.31,0.16,0.15,0.00,0.00,0.94,0.94,"",3,37.5,13,21.7,140201,9.5,0,0.0,0,0.0,-45,-9.5,-2372,-9.6
"37165","1","102","72","0","1990","A","","Scotland County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,73,1620906,0,0,429,22306,"",2.33,0.16,0.15,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","1021","73","0","1990","A","","Scotland County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,51,1354088,0,0,509,26464,"",2.76,0.37,0.40,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","1028","73","0","1990","A","","Scotland County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,20,233179,0,0,229,11907,"",2.04,0.08,0.04,0.00,0.00,0.50,0.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","48-49","74","0","1990","A","","Scotland County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,51,1354088,0,0,509,26464,"",2.84,0.41,0.43,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","491","75","0","1990","A","","Scotland County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,51,1354088,0,0,509,26464,"",2.90,0.43,0.46,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","4911","76","0","1990","A","","Scotland County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,51,1354088,0,0,509,26464,"",2.90,0.43,0.46,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","49111","77","0","1990","A","","Scotland County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,51,1354088,0,0,509,26464,"",2.90,0.43,0.46,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37165","1","491110","78","0","1990","A","","Scotland County, North Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,51,1354088,0,0,509,26464,"",2.90,0.43,0.46,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
