"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38013","0","10","70","0","1990","A","","Burke County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",135,692,11755993,0,0,327,16988,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,3.1,21,3.1,661871,6.0,-3647384,-100.0,-84762,-100.0,10,3.2,455,2.8
"38013","1","10","71","0","1990","A","","Burke County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,70,1746160,0,0,478,24856,"",9.73,3.42,3.91,0.00,0.00,1.14,1.14,"",1,11.1,-2,-2.8,56119,3.3,0,0.0,0,0.0,27,6.0,1384,5.9
"38013","1","102","72","0","1990","A","","Burke County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,70,1746160,0,0,478,24856,"",9.79,3.56,4.09,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","1021","73","0","1990","A","","Burke County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,327979,0,0,398,20714,"",10.21,2.62,2.41,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","1028","73","0","1990","A","","Burke County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,51,1359553,0,0,512,26614,"",9.42,4.81,5.86,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","48-49","74","0","1990","A","","Burke County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,327979,0,0,398,20714,"",10.52,2.89,2.56,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","491","75","0","1990","A","","Burke County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,327979,0,0,398,20714,"",10.73,3.04,2.72,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","4911","76","0","1990","A","","Burke County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,327979,0,0,398,20714,"",10.73,3.04,2.72,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","49111","77","0","1990","A","","Burke County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,327979,0,0,398,20714,"",10.73,3.04,2.72,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38013","1","491110","78","0","1990","A","","Burke County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,327979,0,0,398,20714,"",10.73,3.04,2.72,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
