"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39001","0","10","70","0","1990","A","","Adams County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",393,5208,96760766,0,0,357,18578,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-1.0,71,1.4,5664548,6.2,-30147398,-100.0,-1064983,-100.0,16,4.7,845,4.8
"39001","1","10","71","0","1990","A","","Adams County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,78,1819238,0,0,449,23374,"",4.35,0.51,0.49,0.00,0.00,0.98,0.98,"",0,0.0,-1,-1.3,87702,5.1,0,0.0,0,0.0,28,6.7,1456,6.6
"39001","1","102","72","0","1990","A","","Adams County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,78,1819238,0,0,449,23374,"",4.37,0.53,0.52,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","1021","73","0","1990","A","","Adams County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,59,1395096,0,0,454,23612,"",6.13,1.28,1.25,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","1028","73","0","1990","A","","Adams County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,13,295003,0,0,442,22987,"",3.24,0.16,0.15,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","48-49","74","0","1990","A","","Adams County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,59,1395096,0,0,454,23612,"",6.32,1.42,1.32,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","491","75","0","1990","A","","Adams County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,59,1395096,0,0,454,23612,"",6.45,1.49,1.41,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","4911","76","0","1990","A","","Adams County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,59,1395096,0,0,454,23612,"",6.45,1.49,1.41,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","49111","77","0","1990","A","","Adams County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,59,1395096,0,0,454,23612,"",6.45,1.49,1.41,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39001","1","491110","78","0","1990","A","","Adams County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,59,1395096,0,0,454,23612,"",6.45,1.49,1.41,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
