"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40001","0","10","70","0","1990","A","","Adair County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",229,3931,58440325,0,0,286,14866,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.4,361,10.1,6641325,12.8,-26322827,-100.0,-391122,-100.0,7,2.5,357,2.5
"40001","1","10","71","0","1990","A","","Adair County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,50,1125644,0,0,436,22664,"",5.74,0.43,0.51,0.00,0.00,1.19,1.19,"",0,0.0,2,4.2,157654,16.3,0,0.0,0,0.0,49,12.7,2498,12.4
"40001","1","102","72","0","1990","A","","Adair County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,50,1125644,0,0,436,22664,"",5.77,0.45,0.53,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","1021","73","0","1990","A","","Adair County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,834723,0,0,444,23080,"",7.52,1.04,1.24,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","1028","73","0","1990","A","","Adair County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,180442,0,0,434,22555,"",3.33,0.13,0.16,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","48-49","74","0","1990","A","","Adair County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,834723,0,0,444,23080,"",7.75,1.14,1.31,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","491","75","0","1990","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,834723,0,0,444,23080,"",7.91,1.21,1.39,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","4911","76","0","1990","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,834723,0,0,444,23080,"",7.91,1.21,1.39,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","49111","77","0","1990","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,834723,0,0,444,23080,"",7.91,1.21,1.39,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","491110","78","0","1990","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,834723,0,0,444,23080,"",7.91,1.21,1.39,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","92","74","0","1990","A","","Adair County, Oklahoma","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,180442,0,0,434,22555,"",3.33,0.13,0.16,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","924","75","0","1990","A","","Adair County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,87323,0,0,448,23286,"",8.42,0.97,1.14,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","9241","76","0","1990","A","","Adair County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,87323,0,0,448,23286,"",8.42,0.97,1.14,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","92412","77","0","1990","A","","Adair County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,87323,0,0,448,23286,"",8.54,1.12,1.37,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","924120","78","0","1990","A","","Adair County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,87323,0,0,448,23286,"",8.54,1.12,1.37,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","926","75","0","1990","A","","Adair County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,93119,0,0,421,21910,"",2.77,0.43,0.57,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","9261","76","0","1990","A","","Adair County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,93119,0,0,421,21910,"",2.77,0.43,0.57,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","92614","77","0","1990","A","","Adair County, Oklahoma","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,93119,0,0,421,21910,"",4.83,2.14,2.51,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","1","926140","78","0","1990","A","","Adair County, Oklahoma","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,93119,0,0,421,21910,"",4.83,2.14,2.51,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","2","10","71","0","1990","A","","Adair County, Oklahoma","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,113,2538901,0,0,433,22501,"",4.72,0.79,1.08,0.00,0.00,1.37,1.37,"",0,0.0,1,0.9,125337,5.2,-410601,-100.0,-3966,-100.0,19,4.6,952,4.4
"40001","2","102","72","0","1990","A","","Adair County, Oklahoma","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,113,2538901,0,0,433,22501,"",4.87,0.81,1.10,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","10","71","0","1990","A","","Adair County, Oklahoma","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,880,14125234,0,0,309,16047,"",8.97,2.30,2.48,0.00,0.00,1.08,1.08,"",1,2.9,19,2.2,1522631,12.1,-4409745,-100.0,-44013,-100.0,28,10.0,1410,9.6
"40001","3","1021","73","0","1990","A","","Adair County, Oklahoma","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,40,545867,0,0,265,13761,"",18.28,2.65,1.87,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","1025","73","0","1990","A","","Adair County, Oklahoma","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",12,698,12074749,0,0,333,17299,"",12.85,2.97,3.51,0.00,0.00,1.19,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","1028","73","0","1990","A","","Adair County, Oklahoma","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,91,1031801,0,0,219,11391,"",6.43,0.81,0.61,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","61","74","0","1990","A","","Adair County, Oklahoma","Local Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",12,698,12074749,0,0,333,17299,"",15.48,3.37,3.95,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","611","75","0","1990","A","","Adair County, Oklahoma","Local Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,698,12074749,0,0,333,17299,"",15.48,3.37,3.95,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","6111","76","0","1990","A","","Adair County, Oklahoma","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,698,12074749,0,0,333,17299,"",16.33,3.63,4.21,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","61111","77","0","1990","A","","Adair County, Oklahoma","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,698,12074749,0,0,333,17299,"",16.33,3.63,4.21,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","611110","78","0","1990","A","","Adair County, Oklahoma","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,698,12074749,0,0,333,17299,"",16.33,3.63,4.21,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","92","74","0","1990","A","","Adair County, Oklahoma","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,91,1031801,0,0,219,11391,"",6.43,0.81,0.61,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","921","75","0","1990","A","","Adair County, Oklahoma","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,44,455773,0,0,200,10418,"",4.62,0.57,0.42,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","9211","76","0","1990","A","","Adair County, Oklahoma","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,44,455773,0,0,200,10418,"",4.62,0.57,0.42,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","922","75","0","1990","A","","Adair County, Oklahoma","Local Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,41,492430,0,0,231,12010,"",14.55,1.82,1.14,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","3","9221","76","0","1990","A","","Adair County, Oklahoma","Local Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,41,492430,0,0,231,12010,"",14.55,1.82,1.14,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","10","71","0","1990","A","","Adair County, Oklahoma","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",174,2888,40650546,0,0,271,14074,"",0.79,0.88,0.84,0.00,0.00,0.96,0.96,"",0,0.0,339,13.3,4835703,13.5,-21502481,-100.0,-343143,-100.0,1,0.4,24,0.2
"40001","5","101","72","0","1990","A","","Adair County, Oklahoma","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",35,1923,30148728,0,0,302,15681,"",0.79,2.15,1.96,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","1013","73","0","1990","A","","Adair County, Oklahoma","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",13,1737,27344734,0,0,303,15745,"",0.89,2.70,2.40,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","102","72","0","1990","A","","Adair County, Oklahoma","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",139,966,10501818,0,0,209,10874,"",0.79,0.40,0.32,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","1021","73","0","1990","A","","Adair County, Oklahoma","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",58,431,4505745,0,0,201,10454,"",0.96,0.53,0.41,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","1023","73","0","1990","A","","Adair County, Oklahoma","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",17,92,1416895,0,0,297,15457,"",0.86,0.37,0.32,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","1024","73","0","1990","A","","Adair County, Oklahoma","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",14,31,438320,0,0,270,14064,"",0.47,0.08,0.07,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","1025","73","0","1990","A","","Adair County, Oklahoma","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",18,269,3060488,0,0,219,11367,"",0.92,0.70,0.55,0.00,0.00,0.80,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","1026","73","0","1990","A","","Adair County, Oklahoma","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",18,105,550303,0,0,101,5245,"",0.97,0.31,0.25,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","236","75","0","1990","A","","Adair County, Oklahoma","Private","Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,52,725015,0,0,266,13854,"",0.91,1.08,0.89,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40001","5","238","75","0","1990","A","","Adair County, Oklahoma","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,6,93800,0,0,289,15008,"",0.40,0.05,0.05,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
