"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41019","0","10","70","0","1990","A","","Douglas County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2545,33606,666823996,0,0,382,19842,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",64,2.6,416,1.3,37592752,6.0,-316529470,-100.0,-10082391,-100.0,18,4.9,884,4.7
"41019","1","10","71","0","1990","A","","Douglas County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",35,1744,50358558,0,0,555,28882,"",1.81,1.75,1.99,0.00,0.00,1.13,1.13,"",3,9.4,31,1.8,3688200,7.9,0,0.0,0,0.0,32,6.1,1638,6.0
"41019","1","101","72","0","1990","A","","Douglas County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",6,597,14577967,0,0,470,24429,"",53.16,14.48,13.16,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","1011","73","0","1990","A","","Douglas County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",6,597,14577967,0,0,470,24429,"",79.90,142.84,170.50,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","102","72","0","1990","A","","Douglas County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,1147,35780591,0,0,600,31199,"",1.51,1.20,1.48,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","1021","73","0","1990","A","","Douglas County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",17,169,4661692,0,0,530,27570,"",2.30,0.57,0.60,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","1023","73","0","1990","A","","Douglas County, Oregon","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,116304,0,0,383,19938,"",1.28,0.54,0.39,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","1025","73","0","1990","A","","Douglas County, Oregon","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,689,22928445,0,0,640,33258,"",5.08,8.43,10.82,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","1028","73","0","1990","A","","Douglas County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,282,8062059,0,0,550,28580,"",0.90,0.55,0.61,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41019","1","11","74","0","1990","A","","Douglas County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",6,597,14577967,0,0,470,24429,"",79.90,142.84,170.50,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
