"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41061","0","10","70","0","1990","A","","Union County, Oregon","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",724,8301,147561089,0,0,342,17776,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",32,4.6,108,1.3,9377406,6.8,-63520859,-100.0,-2082105,-100.0,18,5.6,910,5.4
"41061","1","10","71","0","1990","A","","Union County, Oregon","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,308,7201686,0,0,449,23357,"",2.72,1.25,1.28,0.00,0.00,1.02,1.02,"",0,0.0,32,11.6,1282489,21.7,0,0.0,0,0.0,37,9.0,1911,8.9
"41061","1","101","72","0","1990","A","","Union County, Oregon","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",62.29,22.68,21.96,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","1011","73","0","1990","A","","Union County, Oregon","Federal Government","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",93.62,223.75,284.52,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","102","72","0","1990","A","","Union County, Oregon","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,77,1818268,0,0,453,23537,"",2.37,0.33,0.34,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","1021","73","0","1990","A","","Union County, Oregon","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,45,1247137,0,0,538,27973,"",2.38,0.61,0.73,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","1028","73","0","1990","A","","Union County, Oregon","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,29,505320,0,0,330,17178,"",2.46,0.23,0.17,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","11","74","0","1990","A","","Union County, Oregon","Federal Government","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",93.62,223.75,284.52,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","113","75","0","1990","A","","Union County, Oregon","Federal Government","Forestry and logging","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",165.91,353.15,442.78,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","1131","76","0","1990","A","","Union County, Oregon","Federal Government","Timber tract operations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",165.91,353.15,442.78,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","11311","77","0","1990","A","","Union County, Oregon","Federal Government","Timber tract operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",165.91,353.15,442.78,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","113110","78","0","1990","A","","Union County, Oregon","Federal Government","Timber tract operations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,231,5383418,0,0,448,23296,"",165.91,353.15,442.78,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","48-49","74","0","1990","A","","Union County, Oregon","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,45,1247137,0,0,538,27973,"",2.45,0.68,0.77,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","491","75","0","1990","A","","Union County, Oregon","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,45,1247137,0,0,538,27973,"",2.50,0.71,0.82,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","4911","76","0","1990","A","","Union County, Oregon","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,45,1247137,0,0,538,27973,"",2.50,0.71,0.82,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","49111","77","0","1990","A","","Union County, Oregon","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,45,1247137,0,0,538,27973,"",2.50,0.71,0.82,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","491110","78","0","1990","A","","Union County, Oregon","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,45,1247137,0,0,538,27973,"",2.50,0.71,0.82,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","92","74","0","1990","A","","Union County, Oregon","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,29,505320,0,0,330,17178,"",2.46,0.23,0.17,0.00,0.00,0.75,0.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","923","75","0","1990","A","","Union County, Oregon","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,183592,0,0,573,29772,"",4.46,0.56,0.70,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","9231","76","0","1990","A","","Union County, Oregon","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,183592,0,0,573,29772,"",4.46,0.56,0.70,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","92313","77","0","1990","A","","Union County, Oregon","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,183592,0,0,573,29772,"",6.07,1.00,1.32,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","923130","78","0","1990","A","","Union County, Oregon","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,183592,0,0,573,29772,"",6.07,1.00,1.32,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","924","75","0","1990","A","","Union County, Oregon","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,89878,0,0,482,25082,"",2.66,0.46,0.46,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41061","1","9241","76","0","1990","A","","Union County, Oregon","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,89878,0,0,482,25082,"",2.66,0.46,0.46,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
