"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42081","0","10","70","0","1990","A","","Lycoming County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2592,49809,985379275,0,0,380,19783,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",131,5.3,-320,-0.6,26774173,2.8,-308613291,-100.0,-12088334,-100.0,13,3.5,661,3.5
"42081","1","10","71","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,523,16350936,0,0,602,31284,"",1.47,0.35,0.44,0.00,0.00,1.23,1.23,"",-2,-6.5,-3,-0.6,1449064,9.7,0,0.0,0,0.0,58,10.7,2954,10.4
"42081","1","102","72","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,521,16330938,0,0,602,31320,"",1.43,0.37,0.46,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","1021","73","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,344,9987836,0,0,558,29041,"",1.20,0.78,0.88,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","1023","73","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,100381,0,0,331,17208,"",1.26,0.36,0.23,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","1024","73","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,204794,0,0,556,28912,"",2.20,0.22,0.25,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","1028","73","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,165,6037927,0,0,706,36686,"",1.67,0.22,0.31,0.00,0.00,1.44,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","48-49","74","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,344,9987836,0,0,558,29041,"",1.23,0.86,0.93,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","491","75","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,344,9987836,0,0,558,29041,"",1.26,0.91,0.99,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42081","1","4911","76","0","1990","A","","Lycoming County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,344,9987836,0,0,558,29041,"",1.26,0.91,0.99,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
