"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45049","0","10","70","0","1990","A","","Hampton County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",403,5414,92508332,0,0,329,17087,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-0.5,-21,-0.4,3116062,3.5,-31295433,-100.0,-524760,-100.0,13,4.1,640,3.9
"45049","1","10","71","0","1990","A","","Hampton County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,65,1392098,0,0,411,21362,"",2.28,0.41,0.40,0.00,0.00,0.97,0.97,"",2,40.0,9,16.1,236675,20.5,0,0.0,0,0.0,15,3.8,730,3.5
"45049","1","102","72","0","1990","A","","Hampton County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,65,1392098,0,0,411,21362,"",2.29,0.42,0.41,0.00,0.00,0.97,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","1021","73","0","1990","A","","Hampton County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,38,860459,0,0,431,22398,"",0.85,0.80,0.80,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","1028","73","0","1990","A","","Hampton County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,27,531639,0,0,382,19874,"",3.79,0.33,0.29,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","48-49","74","0","1990","A","","Hampton County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,38,860459,0,0,431,22398,"",0.88,0.88,0.85,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","491","75","0","1990","A","","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,38,860459,0,0,431,22398,"",0.90,0.92,0.91,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","4911","76","0","1990","A","","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,38,860459,0,0,431,22398,"",0.90,0.92,0.91,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","49111","77","0","1990","A","","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,38,860459,0,0,431,22398,"",0.90,0.92,0.91,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","491110","78","0","1990","A","","Hampton County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,38,860459,0,0,431,22398,"",0.90,0.92,0.91,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","92","74","0","1990","A","","Hampton County, South Carolina","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,27,531639,0,0,382,19874,"",3.79,0.33,0.29,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45049","1","922","75","0","1990","A","","Hampton County, South Carolina","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,120002,0,0,1026,53334,"",8.80,0.37,0.85,0.00,0.00,2.05,2.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
