"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45085","0","10","70","0","1990","A","","Sumter County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1681,33770,573735870,0,0,327,16990,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",51,3.1,1505,4.7,47425015,9.0,-180972859,-100.0,-3105103,-100.0,14,4.5,678,4.2
"45085","1","10","71","0","1990","A","","Sumter County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,1408,28592110,0,0,390,20302,"",1.33,1.41,1.31,0.00,0.00,0.93,0.93,"",1,6.2,84,6.3,2900679,11.3,0,0.0,0,0.0,17,4.6,898,4.6
"45085","1","102","72","0","1990","A","","Sumter County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,1408,28592110,0,0,390,20302,"",1.34,1.47,1.37,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","1021","73","0","1990","A","","Sumter County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,387,6198251,0,0,308,16006,"",0.41,1.30,0.93,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","1024","73","0","1990","A","","Sumter County, South Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,288,2455020,0,0,164,8527,"",6.78,13.12,5.21,0.00,0.00,0.40,0.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","1028","73","0","1990","A","","Sumter County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,672,18387079,0,0,526,27358,"",1.82,1.30,1.62,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","44-45","74","0","1990","A","","Sumter County, South Carolina","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,232,1899062,0,0,158,8200,"",12.36,10.92,9.94,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","452","75","0","1990","A","","Sumter County, South Carolina","Federal Government","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,232,1899062,0,0,158,8200,"",14.79,11.70,11.42,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","4521","76","0","1990","A","","Sumter County, South Carolina","Federal Government","Department stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,232,1899062,0,0,158,8200,"",32.51,20.53,20.10,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","45211","77","0","1990","A","","Sumter County, South Carolina","Federal Government","Department stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,232,1899062,0,0,158,8200,"",32.51,20.53,20.10,0.00,0.00,0.98,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","452111","78","0","1990","A","","Sumter County, South Carolina","Federal Government","Department stores, except discount","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,232,1899062,0,0,158,8200,"",53.86,32.72,32.97,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","48-49","74","0","1990","A","","Sumter County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,156,4299189,0,0,531,27618,"",0.21,0.58,0.69,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45085","1","491","75","0","1990","A","","Sumter County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,156,4299189,0,0,531,27618,"",0.22,0.61,0.73,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
