"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46003","0","10","70","0","1990","A","","Aurora County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",117,746,8829113,0,0,228,11831,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-6.4,35,4.9,512568,6.2,-2880920,-100.0,-5834,-100.0,4,1.8,135,1.2
"46003","1","10","71","0","1990","A","","Aurora County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,27,530556,0,0,374,19470,"",7.86,1.22,1.58,0.00,0.00,1.28,1.28,"",-1,-12.5,-1,-3.6,-19924,-3.6,0,0.0,0,0.0,-4,-1.1,-190,-1.0
"46003","1","102","72","0","1990","A","","Aurora County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,27,530556,0,0,374,19470,"",7.90,1.28,1.65,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","1021","73","0","1990","A","","Aurora County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,261409,0,0,413,21486,"",8.83,1.82,2.56,0.00,0.00,1.38,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","1028","73","0","1990","A","","Aurora County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,174072,0,0,340,17702,"",6.52,0.87,1.00,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","48-49","74","0","1990","A","","Aurora County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,12,261409,0,0,413,21486,"",9.11,2.01,2.71,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","491","75","0","1990","A","","Aurora County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,261409,0,0,413,21486,"",9.29,2.12,2.89,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","4911","76","0","1990","A","","Aurora County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,12,261409,0,0,413,21486,"",9.29,2.12,2.89,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","49111","77","0","1990","A","","Aurora County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,12,261409,0,0,413,21486,"",9.29,2.12,2.89,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","491110","78","0","1990","A","","Aurora County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,12,261409,0,0,413,21486,"",9.29,2.12,2.89,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","92","74","0","1990","A","","Aurora County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,174072,0,0,340,17702,"",6.52,0.87,1.00,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","924","75","0","1990","A","","Aurora County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,159581,0,0,380,19742,"",16.48,10.23,13.75,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","9241","76","0","1990","A","","Aurora County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,159581,0,0,380,19742,"",16.48,10.23,13.75,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","92412","77","0","1990","A","","Aurora County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,159581,0,0,380,19742,"",16.72,11.81,16.63,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","924120","78","0","1990","A","","Aurora County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,159581,0,0,380,19742,"",16.72,11.81,16.63,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46003","1","926","75","0","1990","A","","Aurora County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,14491,0,0,159,8281,"",5.42,1.12,0.58,0.00,0.00,0.59,0.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
