"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46011","0","10","70","0","1990","A","","Brookings County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",732,10532,167341541,0,0,306,15889,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-15,-2.0,445,4.4,13230909,8.6,-41405855,-100.0,-162464,-100.0,13,4.4,611,4.0
"46011","1","10","71","0","1990","A","","Brookings County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,160,3656265,0,0,439,22828,"",2.15,0.51,0.57,0.00,0.00,1.12,1.12,"",1,9.1,0,0.0,128078,3.6,0,0.0,0,0.0,15,3.5,777,3.5
"46011","1","102","72","0","1990","A","","Brookings County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,160,3656265,0,0,439,22828,"",2.17,0.54,0.60,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","1021","73","0","1990","A","","Brookings County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,57,1476446,0,0,503,26132,"",1.41,0.61,0.76,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","1028","73","0","1990","A","","Brookings County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,97,2069636,0,0,410,21300,"",2.78,0.60,0.63,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","48-49","74","0","1990","A","","Brookings County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,57,1476446,0,0,503,26132,"",1.46,0.68,0.81,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","491","75","0","1990","A","","Brookings County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,57,1476446,0,0,503,26132,"",1.48,0.71,0.86,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","4911","76","0","1990","A","","Brookings County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,57,1476446,0,0,503,26132,"",1.48,0.71,0.86,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","49111","77","0","1990","A","","Brookings County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,57,1476446,0,0,503,26132,"",1.48,0.71,0.86,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","491110","78","0","1990","A","","Brookings County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,57,1476446,0,0,503,26132,"",1.48,0.71,0.86,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","92","74","0","1990","A","","Brookings County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,97,2069636,0,0,410,21300,"",2.78,0.60,0.63,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","924","75","0","1990","A","","Brookings County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,38,773695,0,0,392,20360,"",5.27,3.44,3.52,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46011","1","9241","76","0","1990","A","","Brookings County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,38,773695,0,0,392,20360,"",5.27,3.44,3.52,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
