"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46013","0","10","70","0","1990","A","","Brown County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1409,16233,264062997,0,0,313,16267,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-9,-0.6,606,3.9,14385569,5.8,-76118385,-100.0,-340835,-100.0,6,2.0,290,1.8
"46013","1","10","71","0","1990","A","","Brown County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,593,16705465,0,0,542,28163,"",2.52,1.23,1.66,0.00,0.00,1.35,1.35,"",2,8.0,-10,-1.7,914495,5.8,0,0.0,0,0.0,39,7.8,1976,7.5
"46013","1","102","72","0","1990","A","","Brown County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",27,593,16705465,0,0,542,28163,"",2.53,1.29,1.74,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","1021","73","0","1990","A","","Brown County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,116,3420391,0,0,567,29486,"",0.98,0.81,1.12,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","1023","73","0","1990","A","","Brown County, South Dakota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,10,230270,0,0,425,22106,"",4.64,1.85,1.95,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","1024","73","0","1990","A","","Brown County, South Dakota","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,4,120344,0,0,604,31394,"",4.04,0.38,0.55,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","1028","73","0","1990","A","","Brown County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",20,463,12934460,0,0,537,27941,"",3.61,1.86,2.48,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","48-49","74","0","1990","A","","Brown County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,116,3420391,0,0,567,29486,"",1.01,0.89,1.19,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","491","75","0","1990","A","","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,116,3420391,0,0,567,29486,"",1.03,0.94,1.26,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46013","1","4911","76","0","1990","A","","Brown County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,116,3420391,0,0,567,29486,"",1.03,0.94,1.26,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
