"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46073","0","10","70","0","1990","A","","Jerauld County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",94,598,7245295,0,0,233,12113,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,1.1,5,0.8,577438,8.7,-2335632,-100.0,-3388,-100.0,17,7.9,869,7.7
"46073","1","10","71","0","1990","A","","Jerauld County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,16,348172,0,0,432,22463,"",8.38,0.90,1.26,0.00,0.00,1.44,1.44,"",1,20.0,1,6.7,31507,9.9,0,0.0,0,0.0,27,6.7,1352,6.4
"46073","1","102","72","0","1990","A","","Jerauld County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,16,348172,0,0,432,22463,"",8.43,0.94,1.32,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","1021","73","0","1990","A","","Jerauld County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,8,208822,0,0,482,25059,"",10.99,1.52,2.49,0.00,0.00,1.58,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","1028","73","0","1990","A","","Jerauld County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,7,139350,0,0,374,19444,"",8.12,0.76,0.97,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","48-49","74","0","1990","A","","Jerauld County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,208822,0,0,482,25059,"",11.33,1.67,2.64,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","491","75","0","1990","A","","Jerauld County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,208822,0,0,482,25059,"",11.56,1.76,2.81,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","4911","76","0","1990","A","","Jerauld County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,8,208822,0,0,482,25059,"",11.56,1.76,2.81,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","49111","77","0","1990","A","","Jerauld County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,8,208822,0,0,482,25059,"",11.56,1.76,2.81,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","491110","78","0","1990","A","","Jerauld County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,8,208822,0,0,482,25059,"",11.56,1.76,2.81,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","92","74","0","1990","A","","Jerauld County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,7,139350,0,0,374,19444,"",8.12,0.76,0.97,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","924","75","0","1990","A","","Jerauld County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,129267,0,0,393,20411,"",20.51,9.58,13.57,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","9241","76","0","1990","A","","Jerauld County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,129267,0,0,393,20411,"",20.51,9.58,13.57,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","92412","77","0","1990","A","","Jerauld County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,129267,0,0,393,20411,"",20.81,11.05,16.41,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","1","924120","78","0","1990","A","","Jerauld County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,129267,0,0,393,20411,"",20.81,11.05,16.41,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","3","1028","73","0","1990","A","","Jerauld County, South Dakota","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,57,477713,0,0,162,8418,"",7.23,3.35,2.26,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46073","3","92","74","0","1990","A","","Jerauld County, South Dakota","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,57,477713,0,0,162,8418,"",7.23,3.35,2.26,0.00,0.00,0.68,0.68,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
