"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46105","0","10","70","0","1990","A","","Perkins County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",182,1263,15594752,0,0,238,12351,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-7,-3.7,-19,-1.5,1232770,8.6,-5045211,-100.0,-15909,-100.0,23,10.7,1149,10.3
"46105","1","10","71","0","1990","A","","Perkins County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,40,822938,0,0,399,20746,"",5.77,1.07,1.39,0.00,0.00,1.31,1.31,"",1,14.3,-1,-2.4,52794,6.9,0,0.0,0,0.0,38,10.5,1962,10.4
"46105","1","102","72","0","1990","A","","Perkins County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,40,822938,0,0,399,20746,"",5.81,1.12,1.45,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","1021","73","0","1990","A","","Perkins County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,15,329416,0,0,429,22333,"",3.78,1.35,1.83,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","1028","73","0","1990","A","","Perkins County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,20,412533,0,0,390,20289,"",6.99,1.03,1.34,0.00,0.00,1.27,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","48-49","74","0","1990","A","","Perkins County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,15,329416,0,0,429,22333,"",3.90,1.48,1.93,0.00,0.00,1.32,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","491","75","0","1990","A","","Perkins County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,329416,0,0,429,22333,"",3.98,1.56,2.06,0.00,0.00,1.33,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","4911","76","0","1990","A","","Perkins County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,329416,0,0,429,22333,"",3.98,1.56,2.06,0.00,0.00,1.33,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","49111","77","0","1990","A","","Perkins County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,15,329416,0,0,429,22333,"",3.98,1.56,2.06,0.00,0.00,1.33,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","491110","78","0","1990","A","","Perkins County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,15,329416,0,0,429,22333,"",3.98,1.56,2.06,0.00,0.00,1.33,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","92","74","0","1990","A","","Perkins County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,20,412533,0,0,390,20289,"",6.99,1.03,1.34,0.00,0.00,1.27,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","924","75","0","1990","A","","Perkins County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,15,316022,0,0,394,20499,"",15.89,11.33,15.41,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","9241","76","0","1990","A","","Perkins County, South Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,15,316022,0,0,394,20499,"",15.89,11.33,15.41,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","92412","77","0","1990","A","","Perkins County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,15,316022,0,0,394,20499,"",16.12,13.08,18.64,0.00,0.00,1.38,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","924120","78","0","1990","A","","Perkins County, South Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,15,316022,0,0,394,20499,"",16.12,13.08,18.64,0.00,0.00,1.38,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","926","75","0","1990","A","","Perkins County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,17308,0,0,174,9030,"",3.48,0.66,0.39,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46105","1","9261","76","0","1990","A","","Perkins County, South Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,17308,0,0,174,9030,"",3.48,0.66,0.39,0.00,0.00,0.62,0.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
