"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47039","0","10","70","0","1990","A","","Decatur County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",227,3331,46434322,0,0,268,13940,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",17,8.1,77,2.4,2921305,6.7,-21665226,-100.0,-435530,-100.0,11,4.3,568,4.2
"47039","1","10","71","0","1990","A","","Decatur County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,41,1138979,0,0,529,27500,"",1.74,0.42,0.65,0.00,0.00,1.54,1.54,"",1,50.0,20,95.2,617082,118.2,0,0.0,0,0.0,52,10.9,2648,10.7
"47039","1","102","72","0","1990","A","","Decatur County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,41,1138979,0,0,529,27500,"",1.75,0.43,0.67,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","1021","73","0","1990","A","","Decatur County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,33,1041905,0,0,606,31493,"",1.52,1.12,1.94,0.00,0.00,1.73,1.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","1028","73","0","1990","A","","Decatur County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,97074,0,0,224,11649,"",2.24,0.16,0.11,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","48-49","74","0","1990","A","","Decatur County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,33,1041905,0,0,606,31493,"",1.56,1.24,2.06,0.00,0.00,1.66,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","491","75","0","1990","A","","Decatur County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,33,1041905,0,0,606,31493,"",1.60,1.30,2.19,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","4911","76","0","1990","A","","Decatur County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,33,1041905,0,0,606,31493,"",1.60,1.30,2.19,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","49111","77","0","1990","A","","Decatur County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,33,1041905,0,0,606,31493,"",1.60,1.30,2.19,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","491110","78","0","1990","A","","Decatur County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,33,1041905,0,0,606,31493,"",1.60,1.30,2.19,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","92","74","0","1990","A","","Decatur County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,8,97074,0,0,224,11649,"",2.24,0.16,0.11,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","926","75","0","1990","A","","Decatur County, Tennessee","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,24522,0,0,96,4988,"",2.79,0.63,0.19,0.00,0.00,0.30,0.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","1","9261","76","0","1990","A","","Decatur County, Tennessee","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,24522,0,0,96,4988,"",2.79,0.63,0.19,0.00,0.00,0.30,0.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","3","102","72","0","1990","A","","Decatur County, Tennessee","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,416,6378803,0,0,295,15343,"",2.16,1.30,1.43,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47039","5","10","71","0","1990","A","","Decatur County, Tennessee","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",212,2838,38351648,0,0,260,13514,"",0.97,1.02,1.00,0.00,0.00,0.99,0.98,"",17,8.7,73,2.6,2114160,5.8,-19687661,-100.0,-394757,-100.0,8,3.2,409,3.1
