"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47073","0","10","70","0","1990","A","","Hawkins County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",462,10582,238677605,0,0,434,22554,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",18,4.1,1334,14.4,39360724,19.7,-55469154,-100.0,-720177,-100.0,20,4.8,1002,4.6
"47073","1","10","71","0","1990","A","","Hawkins County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,309,10459479,0,0,651,33849,"",2.27,0.99,1.15,0.00,0.00,1.17,1.17,"",1,14.3,-36,-10.4,739556,7.6,0,0.0,0,0.0,110,20.3,5676,20.1
"47073","1","102","72","0","1990","A","","Hawkins County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,293,9991774,0,0,656,34121,"",2.00,0.98,1.15,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","1021","73","0","1990","A","","Hawkins County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,264,9356831,0,0,682,35443,"",2.24,2.83,3.39,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","1028","73","0","1990","A","","Hawkins County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,29,634943,0,0,423,22021,"",2.20,0.18,0.13,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","22","74","0","1990","A","","Hawkins County, Tennessee","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,243,8668052,0,0,686,35671,"",119.36,127.62,119.72,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","221","75","0","1990","A","","Hawkins County, Tennessee","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,243,8668052,0,0,686,35671,"",119.36,127.62,119.72,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","2211","76","0","1990","A","","Hawkins County, Tennessee","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,243,8668052,0,0,686,35671,"",133.98,134.44,124.70,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","48-49","74","0","1990","A","","Hawkins County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,688779,0,0,631,32799,"",0.77,0.25,0.26,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","491","75","0","1990","A","","Hawkins County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,688779,0,0,631,32799,"",0.78,0.26,0.28,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","4911","76","0","1990","A","","Hawkins County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,688779,0,0,631,32799,"",0.78,0.26,0.28,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","49111","77","0","1990","A","","Hawkins County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,688779,0,0,631,32799,"",0.78,0.26,0.28,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","491110","78","0","1990","A","","Hawkins County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,688779,0,0,631,32799,"",0.78,0.26,0.28,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","92","74","0","1990","A","","Hawkins County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,29,634943,0,0,423,22021,"",2.20,0.18,0.13,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","921","75","0","1990","A","","Hawkins County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,254532,0,0,653,33938,"",6.84,0.31,0.35,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47073","1","9211","76","0","1990","A","","Hawkins County, Tennessee","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,254532,0,0,653,33938,"",6.84,0.31,0.35,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
