"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47087","0","10","70","0","1990","A","","Jackson County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",90,1750,26296442,0,0,289,15024,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-1.1,-46,-2.6,919508,3.6,-11915575,-100.0,-186897,-100.0,18,6.6,895,6.3
"47087","1","10","71","0","1990","A","","Jackson County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,12,234226,0,0,370,19251,"",4.38,0.23,0.23,0.00,0.00,1.00,1.00,"",1,50.0,4,50.0,34592,17.3,0,0.0,0,0.0,-109,-22.8,-5703,-22.9
"47087","1","102","72","0","1990","A","","Jackson County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,12,234226,0,0,370,19251,"",4.40,0.24,0.25,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","1021","73","0","1990","A","","Jackson County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,125356,0,0,603,31339,"",3.83,0.26,0.41,0.00,0.00,1.59,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","1028","73","0","1990","A","","Jackson County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,8,108870,0,0,256,13331,"",5.65,0.30,0.21,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","48-49","74","0","1990","A","","Jackson County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,125356,0,0,603,31339,"",3.95,0.29,0.44,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","491","75","0","1990","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,125356,0,0,603,31339,"",4.02,0.30,0.46,0.00,0.00,1.55,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","4911","76","0","1990","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,125356,0,0,603,31339,"",4.02,0.30,0.46,0.00,0.00,1.55,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","49111","77","0","1990","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,125356,0,0,603,31339,"",4.02,0.30,0.46,0.00,0.00,1.55,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47087","1","491110","78","0","1990","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,125356,0,0,603,31339,"",4.02,0.30,0.46,0.00,0.00,1.55,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
