"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47107","0","10","70","0","1990","A","","McMinn County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",704,16223,324183765,0,0,384,19983,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",28,4.1,-337,-2.0,4731837,1.5,-112690828,-100.0,-2000148,-100.0,14,3.8,693,3.6
"47107","1","10","71","0","1990","A","","McMinn County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,142,3449885,0,0,469,24366,"",1.49,0.30,0.28,0.00,0.00,0.95,0.95,"",1,14.3,22,18.3,561227,19.4,0,0.0,0,0.0,7,1.5,294,1.2
"47107","1","102","72","0","1990","A","","McMinn County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,105,2768993,0,0,506,26288,"",1.13,0.23,0.23,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","1021","73","0","1990","A","","McMinn County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,40,1258946,0,0,613,31872,"",0.98,0.28,0.34,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","1028","73","0","1990","A","","McMinn County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,66,1510047,0,0,441,22937,"",1.45,0.27,0.24,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","48-49","74","0","1990","A","","McMinn County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,38,1195042,0,0,613,31868,"",0.50,0.29,0.34,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","491","75","0","1990","A","","McMinn County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,38,1195042,0,0,613,31868,"",0.51,0.31,0.36,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","4911","76","0","1990","A","","McMinn County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,38,1195042,0,0,613,31868,"",0.51,0.31,0.36,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","49111","77","0","1990","A","","McMinn County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,38,1195042,0,0,613,31868,"",0.51,0.31,0.36,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","491110","78","0","1990","A","","McMinn County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,38,1195042,0,0,613,31868,"",0.51,0.31,0.36,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","92","74","0","1990","A","","McMinn County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,66,1510047,0,0,441,22937,"",1.45,0.27,0.24,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","923","75","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,364534,0,0,529,27512,"",4.59,0.63,0.63,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","9231","76","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,364534,0,0,529,27512,"",4.59,0.63,0.63,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","92313","77","0","1990","A","","McMinn County, Tennessee","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,364534,0,0,529,27512,"",6.24,1.11,1.20,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","923130","78","0","1990","A","","McMinn County, Tennessee","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,364534,0,0,529,27512,"",6.24,1.11,1.20,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","924","75","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,123694,0,0,432,22490,"",1.37,0.35,0.29,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","9241","76","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,123694,0,0,432,22490,"",1.37,0.35,0.29,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","92412","77","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,123694,0,0,432,22490,"",1.39,0.41,0.35,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","924120","78","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,123694,0,0,432,22490,"",1.39,0.41,0.35,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","926","75","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,84941,0,0,111,5759,"",0.90,0.39,0.09,0.00,0.00,0.25,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","9261","76","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,84941,0,0,111,5759,"",0.90,0.39,0.09,0.00,0.00,0.25,0.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","92611","77","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,84941,0,0,111,5759,"",3.00,0.74,0.26,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","1","926110","78","0","1990","A","","McMinn County, Tennessee","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,84941,0,0,111,5759,"",3.00,0.74,0.26,0.00,0.00,0.36,0.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","102","72","0","1990","A","","McMinn County, Tennessee","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",28,1668,31036608,0,0,358,18606,"",2.43,1.07,0.99,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","1021","73","0","1990","A","","McMinn County, Tennessee","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,166,4069928,0,0,471,24518,"",6.94,2.66,2.51,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","1025","73","0","1990","A","","McMinn County, Tennessee","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,1122,21465379,0,0,368,19130,"",2.44,1.15,1.13,0.00,0.00,0.98,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","1028","73","0","1990","A","","McMinn County, Tennessee","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,331,4806526,0,0,280,14536,"",1.61,0.72,0.51,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","92","74","0","1990","A","","McMinn County, Tennessee","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,331,4806526,0,0,280,14536,"",1.61,0.72,0.51,0.00,0.00,0.71,0.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","92114","77","0","1990","A","","McMinn County, Tennessee","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,306,4455171,0,0,280,14563,"",2.01,1.46,1.16,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","3","921140","78","0","1990","A","","McMinn County, Tennessee","Local Government","Executive and legislative offices, combined","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,306,4455171,0,0,280,14563,"",2.01,1.46,1.16,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","5","10","71","0","1990","A","","McMinn County, Tennessee","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",665,14342,288474075,0,0,387,20114,"",0.98,1.06,1.08,0.00,0.00,1.02,1.02,"",25,3.9,-398,-2.7,2279639,0.8,-110362299,-100.0,-1964539,-100.0,14,3.8,698,3.6
"47107","5","101","72","0","1990","A","","McMinn County, Tennessee","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",138,8632,206156318,0,0,459,23882,"",1.02,2.34,2.41,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","5","1011","73","0","1990","A","","McMinn County, Tennessee","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",7,84,2584186,0,0,595,30948,"",0.48,0.32,0.51,0.00,0.00,1.60,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47107","5","1012","73","0","1990","A","","McMinn County, Tennessee","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",58,496,8540479,0,0,331,17204,"",0.76,0.64,0.49,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
