"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47147","0","10","70","0","1990","A","","Robertson County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",585,9739,160733514,0,0,317,16505,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",32,5.8,355,3.8,11696089,7.8,-55433725,-100.0,-1121766,-100.0,12,3.9,623,3.9
"47147","1","10","71","0","1990","A","","Robertson County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,48,1109783,0,0,449,23364,"",0.67,0.17,0.18,0.00,0.00,1.10,1.10,"",1,50.0,13,37.1,115252,11.6,0,0.0,0,0.0,-97,-17.8,-5051,-17.8
"47147","1","102","72","0","1990","A","","Robertson County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,48,1109783,0,0,449,23364,"",0.68,0.17,0.19,0.00,0.00,1.10,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","1021","73","0","1990","A","","Robertson County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,24,808529,0,0,650,33806,"",0.59,0.28,0.44,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","1028","73","0","1990","A","","Robertson County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,24,301254,0,0,246,12774,"",0.87,0.16,0.10,0.00,0.00,0.60,0.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","48-49","74","0","1990","A","","Robertson County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,24,808529,0,0,650,33806,"",0.61,0.31,0.46,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","491","75","0","1990","A","","Robertson County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,24,808529,0,0,650,33806,"",0.62,0.32,0.49,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","4911","76","0","1990","A","","Robertson County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,24,808529,0,0,650,33806,"",0.62,0.32,0.49,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","49111","77","0","1990","A","","Robertson County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,24,808529,0,0,650,33806,"",0.62,0.32,0.49,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","491110","78","0","1990","A","","Robertson County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,24,808529,0,0,650,33806,"",0.62,0.32,0.49,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","92","74","0","1990","A","","Robertson County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,24,301254,0,0,246,12774,"",0.87,0.16,0.10,0.00,0.00,0.60,0.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","924","75","0","1990","A","","Robertson County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,194125,0,0,396,20615,"",1.65,0.88,0.92,0.00,0.00,0.99,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","9241","76","0","1990","A","","Robertson County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,194125,0,0,396,20615,"",1.65,0.88,0.92,0.00,0.00,0.99,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","92412","77","0","1990","A","","Robertson County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,194125,0,0,396,20615,"",1.67,1.02,1.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","924120","78","0","1990","A","","Robertson County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,194125,0,0,396,20615,"",1.67,1.02,1.11,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","926","75","0","1990","A","","Robertson County, Tennessee","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,107129,0,0,145,7562,"",1.08,0.60,0.24,0.00,0.00,0.39,0.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","1","9261","76","0","1990","A","","Robertson County, Tennessee","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,107129,0,0,145,7562,"",1.08,0.60,0.24,0.00,0.00,0.39,0.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","3","102","72","0","1990","A","","Robertson County, Tennessee","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,1761,33471146,0,0,365,19005,"",1.78,1.88,2.16,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47147","3","1028","73","0","1990","A","","Robertson County, Tennessee","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,381,5749669,0,0,291,15111,"",1.36,1.37,1.23,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
