"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47169","0","10","70","0","1990","A","","Trousdale County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",116,2135,27484025,0,0,248,12875,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,4.5,-131,-5.8,778774,2.9,-13387070,-100.0,-271735,-100.0,22,9.7,1090,9.2
"47169","1","10","71","0","1990","A","","Trousdale County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,21,481225,0,0,448,23285,"",4.53,0.33,0.46,0.00,0.00,1.41,1.41,"",1,33.3,3,16.7,26785,5.9,0,0.0,0,0.0,-37,-7.6,-1961,-7.8
"47169","1","102","72","0","1990","A","","Trousdale County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,11,255715,0,0,434,22563,"",3.42,0.18,0.26,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","1021","73","0","1990","A","","Trousdale County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,182077,0,0,584,30346,"",2.97,0.32,0.57,0.00,0.00,1.80,1.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","1028","73","0","1990","A","","Trousdale County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,73638,0,0,266,13807,"",4.39,0.15,0.14,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","48-49","74","0","1990","A","","Trousdale County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,182077,0,0,584,30346,"",3.06,0.35,0.61,0.00,0.00,1.73,1.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","491","75","0","1990","A","","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,182077,0,0,584,30346,"",3.12,0.37,0.65,0.00,0.00,1.74,1.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","4911","76","0","1990","A","","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,182077,0,0,584,30346,"",3.12,0.37,0.65,0.00,0.00,1.74,1.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","49111","77","0","1990","A","","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,182077,0,0,584,30346,"",3.12,0.37,0.65,0.00,0.00,1.74,1.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","491110","78","0","1990","A","","Trousdale County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,182077,0,0,584,30346,"",3.12,0.37,0.65,0.00,0.00,1.74,1.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","92","74","0","1990","A","","Trousdale County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,73638,0,0,266,13807,"",4.39,0.15,0.14,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","924","75","0","1990","A","","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,60529,0,0,466,24212,"",8.31,1.34,1.67,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","9241","76","0","1990","A","","Trousdale County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,60529,0,0,466,24212,"",8.31,1.34,1.67,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","92412","77","0","1990","A","","Trousdale County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,60529,0,0,466,24212,"",8.43,1.55,2.03,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","1","924120","78","0","1990","A","","Trousdale County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,60529,0,0,466,24212,"",8.43,1.55,2.03,0.00,0.00,1.57,1.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","3","102","72","0","1990","A","","Trousdale County, Tennessee","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,198,3220281,0,0,313,16278,"",2.64,0.96,1.22,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","5","10","71","0","1990","A","","Trousdale County, Tennessee","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",103,1871,22976985,0,0,236,12281,"",0.92,1.05,1.01,0.00,0.00,0.97,0.97,"",5,5.1,-127,-6.4,396850,1.8,-13180139,-100.0,-266159,-100.0,19,8.8,980,8.7
"47169","5","101","72","0","1990","A","","Trousdale County, Tennessee","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",20,1172,15646758,0,0,257,13354,"",0.89,2.41,2.16,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47169","5","1012","73","0","1990","A","","Trousdale County, Tennessee","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",10,28,279562,0,0,194,10074,"",0.79,0.27,0.19,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
