"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47181","0","10","70","0","1990","A","","Wayne County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",191,3655,46271521,0,0,243,12660,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.1,113,3.2,1899788,4.3,-23739826,-100.0,-537302,-100.0,3,1.2,133,1.1
"47181","1","10","71","0","1990","A","","Wayne County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,17,351878,0,0,398,20699,"",2.06,0.16,0.20,0.00,0.00,1.28,1.27,"",1,50.0,4,30.8,45265,14.8,0,0.0,0,0.0,-55,-12.1,-2886,-12.2
"47181","1","102","72","0","1990","A","","Wayne County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,17,351878,0,0,398,20699,"",2.08,0.16,0.21,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","1","1021","73","0","1990","A","","Wayne County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,238121,0,0,539,28014,"",1.80,0.28,0.45,0.00,0.00,1.69,1.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","1","48-49","74","0","1990","A","","Wayne County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,238121,0,0,539,28014,"",1.86,0.31,0.47,0.00,0.00,1.63,1.62,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","1","491","75","0","1990","A","","Wayne County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,238121,0,0,539,28014,"",1.90,0.32,0.50,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","1","4911","76","0","1990","A","","Wayne County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,238121,0,0,539,28014,"",1.90,0.32,0.50,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","1","49111","77","0","1990","A","","Wayne County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,238121,0,0,539,28014,"",1.90,0.32,0.50,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","1","491110","78","0","1990","A","","Wayne County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,238121,0,0,539,28014,"",1.90,0.32,0.50,0.00,0.00,1.64,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","3","102","72","0","1990","A","","Wayne County, Tennessee","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,495,7255045,0,0,282,14644,"",2.24,1.41,1.63,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","3","1028","73","0","1990","A","","Wayne County, Tennessee","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,98,1111757,0,0,219,11403,"",2.96,0.94,0.83,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47181","3","92","74","0","1990","A","","Wayne County, Tennessee","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,98,1111757,0,0,219,11403,"",2.96,0.94,0.83,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
