"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48007","0","10","70","0","1990","A","","Aransas County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",437,3845,58856020,0,0,294,15306,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-1.8,-3,-0.1,1910647,3.4,-26335742,-100.0,-630339,-100.0,10,3.5,508,3.4
"48007","1","10","71","0","1990","A","","Aransas County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,21,712019,0,0,642,33376,"",0.60,0.18,0.32,0.00,0.00,1.70,1.70,"",0,0.0,0,0.0,91205,14.7,0,0.0,0,0.0,74,13.0,3814,12.9
"48007","1","102","72","0","1990","A","","Aransas County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,21,712019,0,0,642,33376,"",0.60,0.19,0.33,0.00,0.00,1.70,1.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","1021","73","0","1990","A","","Aransas County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,21,703869,0,0,660,34335,"",0.79,0.62,1.03,0.00,0.00,1.71,1.71,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","1024","73","0","1990","A","","Aransas County, Texas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,8150,0,0,188,9780,"",13.03,0.40,0.17,0.00,0.00,0.51,0.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","48-49","74","0","1990","A","","Aransas County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,703869,0,0,660,34335,"",0.81,0.68,1.10,0.00,0.00,1.65,1.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","491","75","0","1990","A","","Aransas County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,703869,0,0,660,34335,"",0.83,0.72,1.17,0.00,0.00,1.66,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","4911","76","0","1990","A","","Aransas County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,703869,0,0,660,34335,"",0.83,0.72,1.17,0.00,0.00,1.66,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","49111","77","0","1990","A","","Aransas County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,703869,0,0,660,34335,"",0.83,0.72,1.17,0.00,0.00,1.66,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","491110","78","0","1990","A","","Aransas County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,703869,0,0,660,34335,"",0.83,0.72,1.17,0.00,0.00,1.66,1.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","54","74","0","1990","A","","Aransas County, Texas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,8150,0,0,188,9780,"",13.37,0.42,0.17,0.00,0.00,0.49,0.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","1","541","75","0","1990","A","","Aransas County, Texas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,8150,0,0,188,9780,"",13.37,0.42,0.17,0.00,0.00,0.49,0.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48007","2","10","71","0","1990","A","","Aransas County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,117,2350515,0,0,386,20076,"",1.73,0.83,0.99,0.00,0.00,1.19,1.19,"",1,16.7,4,3.5,954,0.0,0,0.0,0,0.0,-13,-3.3,-716,-3.4
"48007","3","10","71","0","1990","A","","Aransas County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,600,10835837,0,0,347,18052,"",2.55,1.60,1.89,0.00,0.00,1.18,1.18,"",0,0.0,-6,-1.0,448048,4.3,-1038705,-100.0,-6230,-100.0,18,5.5,911,5.3
"48007","3","1028","73","0","1990","A","","Aransas County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,187,2822591,0,0,290,15094,"",3.63,1.71,1.65,0.00,0.00,0.97,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
