"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48059","0","10","70","0","1990","A","","Callahan County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",193,1526,23131664,0,0,291,15155,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.5,70,4.8,1915780,9.0,-7299178,-100.0,-180173,-100.0,11,3.9,584,4.0
"48059","1","10","71","0","1990","A","","Callahan County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,32,774792,0,0,463,24087,"",2.72,0.71,0.88,0.00,0.00,1.24,1.24,"",0,0.0,-1,-3.0,12504,1.6,0,0.0,0,0.0,19,4.3,988,4.3
"48059","1","102","72","0","1990","A","","Callahan County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,32,774792,0,0,463,24087,"",2.74,0.74,0.92,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","1021","73","0","1990","A","","Callahan County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,25,607753,0,0,474,24639,"",1.78,1.86,2.27,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","1028","73","0","1990","A","","Callahan County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,167039,0,0,428,22272,"",3.95,0.34,0.37,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","48-49","74","0","1990","A","","Callahan County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,25,607753,0,0,474,24639,"",1.84,2.05,2.41,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","491","75","0","1990","A","","Callahan County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,25,607753,0,0,474,24639,"",1.88,2.16,2.56,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","4911","76","0","1990","A","","Callahan County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,25,607753,0,0,474,24639,"",1.88,2.16,2.56,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","49111","77","0","1990","A","","Callahan County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,607753,0,0,474,24639,"",1.88,2.16,2.56,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","491110","78","0","1990","A","","Callahan County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,607753,0,0,474,24639,"",1.88,2.16,2.56,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","92","74","0","1990","A","","Callahan County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,167039,0,0,428,22272,"",3.95,0.34,0.37,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","924","75","0","1990","A","","Callahan County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,158710,0,0,470,24417,"",9.99,4.38,5.22,0.00,0.00,1.29,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","9241","76","0","1990","A","","Callahan County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,158710,0,0,470,24417,"",9.99,4.38,5.22,0.00,0.00,1.29,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","92412","77","0","1990","A","","Callahan County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,7,158710,0,0,470,24417,"",10.14,5.05,6.31,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48059","1","924120","78","0","1990","A","","Callahan County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,7,158710,0,0,470,24417,"",10.14,5.05,6.31,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
