"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48095","0","10","70","0","1990","A","","Concho County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",83,691,9172500,0,0,255,13274,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-2.4,72,11.6,1064170,13.1,-3389714,-100.0,-51162,-100.0,4,1.6,175,1.3
"48095","1","10","71","0","1990","A","","Concho County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,24,471060,0,0,379,19696,"",7.91,1.17,1.35,0.00,0.00,1.16,1.16,"",0,0.0,-1,-4.0,-4397,-0.9,0,0.0,0,0.0,14,3.8,678,3.6
"48095","1","102","72","0","1990","A","","Concho County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,24,471060,0,0,379,19696,"",7.96,1.22,1.41,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","1021","73","0","1990","A","","Concho County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,190902,0,0,393,20454,"",4.15,1.48,1.80,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","1028","73","0","1990","A","","Concho County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,204299,0,0,421,21889,"",9.19,0.85,1.13,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","48-49","74","0","1990","A","","Concho County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,190902,0,0,393,20454,"",4.28,1.63,1.91,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","491","75","0","1990","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,190902,0,0,393,20454,"",4.36,1.71,2.03,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","4911","76","0","1990","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,190902,0,0,393,20454,"",4.36,1.71,2.03,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","49111","77","0","1990","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,190902,0,0,393,20454,"",4.36,1.71,2.03,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","491110","78","0","1990","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,190902,0,0,393,20454,"",4.36,1.71,2.03,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","92","74","0","1990","A","","Concho County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,9,204299,0,0,421,21889,"",9.19,0.85,1.13,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","924","75","0","1990","A","","Concho County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,192583,0,0,458,23825,"",23.22,11.05,15.97,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","9241","76","0","1990","A","","Concho County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,192583,0,0,458,23825,"",23.22,11.05,15.97,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","92412","77","0","1990","A","","Concho County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,192583,0,0,458,23825,"",23.57,12.75,19.32,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","1","924120","78","0","1990","A","","Concho County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,192583,0,0,458,23825,"",23.57,12.75,19.32,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","3","1028","73","0","1990","A","","Concho County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,67,652566,0,0,187,9716,"",8.19,3.40,2.44,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","3","92","74","0","1990","A","","Concho County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,67,652566,0,0,187,9716,"",8.19,3.40,2.44,0.00,0.00,0.72,0.72,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","5","10","71","0","1990","A","","Concho County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",63,451,5363120,0,0,229,11889,"",0.79,0.78,0.71,0.00,0.00,0.91,0.91,"",-3,-4.5,66,17.1,722067,15.6,-2951848,-100.0,-48537,-100.0,-2,-0.9,-165,-1.4
"48095","5","101","72","0","1990","A","","Concho County, Texas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",19,114,1405012,0,0,237,12343,"",1.19,0.72,0.58,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48095","5","1011","73","0","1990","A","","Concho County, Texas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",14,48,535739,0,0,215,11161,"",8.20,4.33,3.77,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
