"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48113","0","10","70","0","1990","A","","Dallas County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",48338,1174870,31691645670,0,0,519,26975,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1691,3.6,4155,0.4,1323380303,4.4,-9813999724,-100.0,-249372920,-100.0,21,4.2,1036,4.0
"48113","1","10","71","0","1990","A","","Dallas County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",69,29249,954774703,0,0,628,32643,"",0.19,0.84,0.79,0.00,0.00,0.94,0.94,"",1,1.5,2301,8.5,133943993,16.3,0,0.0,0,0.0,43,7.4,2184,7.2
"48113","1","101","72","0","1990","A","","Dallas County, Texas","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",2,113,3705542,0,0,631,32792,"",0.93,0.08,0.07,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1013","73","0","1990","A","","Dallas County, Texas","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",2,113,3705542,0,0,631,32792,"",4.65,0.09,0.08,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","102","72","0","1990","A","","Dallas County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",67,29136,951069161,0,0,628,32642,"",0.18,0.87,0.83,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1021","73","0","1990","A","","Dallas County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,12852,396315569,0,0,593,30837,"",0.04,1.24,1.08,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1023","73","0","1990","A","","Dallas County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,2055,73458969,0,0,688,35751,"",0.20,5.25,5.19,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1024","73","0","1990","A","","Dallas County, Texas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,323,12294446,0,0,731,38024,"",0.24,0.42,0.47,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1025","73","0","1990","A","","Dallas County, Texas","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,2206,69626898,0,0,607,31570,"",0.27,0.77,0.69,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1026","73","0","1990","A","","Dallas County, Texas","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,40,586219,0,0,284,14748,"",0.14,0.06,0.05,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","1028","73","0","1990","A","","Dallas County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",54,11661,398787060,0,0,658,34199,"",0.28,0.65,0.64,0.00,0.00,0.99,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","31-33","74","0","1990","A","","Dallas County, Texas","Federal Government","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,113,3705542,0,0,631,32792,"",4.65,0.09,0.08,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","323","75","0","1990","A","","Dallas County, Texas","Federal Government","Printing and related support activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,788069,0,0,681,35419,"",15.69,0.28,0.22,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","3231","76","0","1990","A","","Dallas County, Texas","Federal Government","Printing and related support activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,788069,0,0,681,35419,"",15.69,0.28,0.22,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48113","1","32311","77","0","1990","A","","Dallas County, Texas","Federal Government","Printing","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,788069,0,0,681,35419,"",17.93,0.28,0.22,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
