"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48123","0","10","70","0","1990","A","","DeWitt County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",536,5600,83633504,0,0,287,14936,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",20,3.9,55,1.0,3127300,3.9,-34234690,-100.0,-655569,-100.0,8,2.9,418,2.9
"48123","1","10","71","0","1990","A","","DeWitt County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,43,1101583,0,0,491,25519,"",0.98,0.26,0.35,0.00,0.00,1.33,1.33,"",0,0.0,-1,-2.3,62506,6.0,0,0.0,0,0.0,37,8.1,1904,8.1
"48123","1","102","72","0","1990","A","","DeWitt County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,43,1101583,0,0,491,25519,"",0.99,0.27,0.36,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","1021","73","0","1990","A","","DeWitt County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,34,920026,0,0,518,26928,"",0.64,0.69,0.95,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","1028","73","0","1990","A","","DeWitt County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,181557,0,0,388,20173,"",1.42,0.10,0.11,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","48-49","74","0","1990","A","","DeWitt County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,34,920026,0,0,518,26928,"",0.66,0.76,1.01,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","491","75","0","1990","A","","DeWitt County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,34,920026,0,0,518,26928,"",0.68,0.80,1.07,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","4911","76","0","1990","A","","DeWitt County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,34,920026,0,0,518,26928,"",0.68,0.80,1.07,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","49111","77","0","1990","A","","DeWitt County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,34,920026,0,0,518,26928,"",0.68,0.80,1.07,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48123","1","491110","78","0","1990","A","","DeWitt County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,34,920026,0,0,518,26928,"",0.68,0.80,1.07,0.00,0.00,1.34,1.34,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
