"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48133","0","10","70","0","1990","A","","Eastland County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",504,5034,75216980,0,0,287,14941,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",17,3.5,-29,-0.6,1417967,1.9,-33755496,-100.0,-1025606,-100.0,7,2.5,365,2.5
"48133","1","10","71","0","1990","A","","Eastland County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,74,1816412,0,0,474,24657,"",1.30,0.50,0.64,0.00,0.00,1.29,1.29,"",0,0.0,-1,-1.3,90466,5.2,0,0.0,0,0.0,32,7.2,1645,7.1
"48133","1","102","72","0","1990","A","","Eastland County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,74,1816412,0,0,474,24657,"",1.31,0.52,0.66,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","1021","73","0","1990","A","","Eastland County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,60,1546130,0,0,493,25626,"",0.68,1.35,1.78,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","1028","73","0","1990","A","","Eastland County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,11,214902,0,0,394,20467,"",1.51,0.14,0.14,0.00,0.00,1.07,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","48-49","74","0","1990","A","","Eastland County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,60,1546130,0,0,493,25626,"",0.70,1.49,1.88,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","491","75","0","1990","A","","Eastland County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,60,1546130,0,0,493,25626,"",0.72,1.57,2.00,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","4911","76","0","1990","A","","Eastland County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,60,1546130,0,0,493,25626,"",0.72,1.57,2.00,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","49111","77","0","1990","A","","Eastland County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,60,1546130,0,0,493,25626,"",0.72,1.57,2.00,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48133","1","491110","78","0","1990","A","","Eastland County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,60,1546130,0,0,493,25626,"",0.72,1.57,2.00,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
