"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48291","0","10","70","0","1990","A","","Liberty County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",899,13324,222843881,0,0,322,16725,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",28,3.2,875,7.0,27081755,13.8,-81224000,-100.0,-2566228,-100.0,20,6.6,1000,6.4
"48291","1","10","71","0","1990","A","","Liberty County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,135,3706889,0,0,527,27408,"",1.02,0.34,0.44,0.00,0.00,1.27,1.28,"",1,16.7,14,11.6,768535,26.2,0,0.0,0,0.0,61,13.1,3125,12.9
"48291","1","102","72","0","1990","A","","Liberty County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,135,3706889,0,0,527,27408,"",1.03,0.36,0.46,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","1021","73","0","1990","A","","Liberty County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,95,2649630,0,0,536,27891,"",0.38,0.81,1.03,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","1028","73","0","1990","A","","Liberty County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,19,469971,0,0,467,24309,"",1.13,0.09,0.11,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","48-49","74","0","1990","A","","Liberty County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,95,2649630,0,0,536,27891,"",0.39,0.89,1.09,0.00,0.00,1.22,1.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","491","75","0","1990","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,95,2649630,0,0,536,27891,"",0.40,0.94,1.16,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","4911","76","0","1990","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,95,2649630,0,0,536,27891,"",0.40,0.94,1.16,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","49111","77","0","1990","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,95,2649630,0,0,536,27891,"",0.40,0.94,1.16,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","491110","78","0","1990","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,95,2649630,0,0,536,27891,"",0.40,0.94,1.16,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","92","74","0","1990","A","","Liberty County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,19,469971,0,0,467,24309,"",1.13,0.09,0.11,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","924","75","0","1990","A","","Liberty County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,17,456014,0,0,506,26309,"",3.22,1.22,1.56,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","9241","76","0","1990","A","","Liberty County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,17,456014,0,0,506,26309,"",3.22,1.22,1.56,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","92412","77","0","1990","A","","Liberty County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,17,456014,0,0,506,26309,"",3.26,1.40,1.88,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","924120","78","0","1990","A","","Liberty County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,17,456014,0,0,506,26309,"",3.26,1.40,1.88,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","926","75","0","1990","A","","Liberty County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,13957,0,0,134,6979,"",0.71,0.06,0.02,0.00,0.00,0.35,0.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","9261","76","0","1990","A","","Liberty County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,13957,0,0,134,6979,"",0.71,0.06,0.02,0.00,0.00,0.35,0.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","92614","77","0","1990","A","","Liberty County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,13957,0,0,134,6979,"",1.23,0.32,0.10,0.00,0.00,0.31,0.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","1","926140","78","0","1990","A","","Liberty County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,13957,0,0,134,6979,"",1.23,0.32,0.10,0.00,0.00,0.31,0.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48291","2","10","71","0","1990","A","","Liberty County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,364,8588081,0,0,454,23604,"",1.44,0.75,0.96,0.00,0.00,1.28,1.28,"",2,20.0,225,161.9,5433268,172.2,0,0.0,0,0.0,18,4.1,908,4.0
