"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48325","0","10","70","0","1990","A","","Medina County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",505,5309,77918660,0,0,282,14678,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,1.4,-93,-1.7,2539500,3.4,-30914427,-100.0,-739397,-100.0,14,5.2,725,5.2
"48325","1","10","71","0","1990","A","","Medina County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,66,1756601,0,0,511,26548,"",1.82,0.42,0.59,0.00,0.00,1.41,1.41,"",1,16.7,2,3.1,186267,11.9,0,0.0,0,0.0,40,8.5,2012,8.2
"48325","1","102","72","0","1990","A","","Medina County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,66,1756601,0,0,511,26548,"",1.83,0.44,0.62,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","1021","73","0","1990","A","","Medina County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,44,1176193,0,0,513,26681,"",0.68,0.94,1.31,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","1028","73","0","1990","A","","Medina County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,15,335453,0,0,428,22240,"",2.01,0.18,0.22,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","48-49","74","0","1990","A","","Medina County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,44,1176193,0,0,513,26681,"",0.70,1.04,1.38,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","491","75","0","1990","A","","Medina County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,44,1176193,0,0,513,26681,"",0.72,1.09,1.47,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","4911","76","0","1990","A","","Medina County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,44,1176193,0,0,513,26681,"",0.72,1.09,1.47,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","49111","77","0","1990","A","","Medina County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,44,1176193,0,0,513,26681,"",0.72,1.09,1.47,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48325","1","491110","78","0","1990","A","","Medina County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,44,1176193,0,0,513,26681,"",0.72,1.09,1.47,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
