"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48365","0","10","70","0","1990","A","","Panola County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",446,7493,145940608,0,0,375,19478,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.2,10,0.1,-497887,-0.3,-52789603,-100.0,-1988423,-100.0,-1,-0.3,-91,-0.5
"48365","1","10","71","0","1990","A","","Panola County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,64,1617764,0,0,485,25245,"",1.47,0.29,0.29,0.00,0.00,1.01,1.01,"",-1,-16.7,-1,-1.5,74208,4.8,0,0.0,0,0.0,29,6.4,1498,6.3
"48365","1","102","72","0","1990","A","","Panola County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,64,1617764,0,0,485,25245,"",1.48,0.30,0.30,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","1021","73","0","1990","A","","Panola County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,44,1042425,0,0,460,23918,"",0.77,0.67,0.62,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","1028","73","0","1990","A","","Panola County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,575339,0,0,540,28065,"",2.28,0.18,0.20,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","48-49","74","0","1990","A","","Panola County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,44,1042425,0,0,460,23918,"",0.80,0.73,0.65,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","491","75","0","1990","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,44,1042425,0,0,460,23918,"",0.81,0.77,0.70,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","4911","76","0","1990","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,44,1042425,0,0,460,23918,"",0.81,0.77,0.70,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","49111","77","0","1990","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,44,1042425,0,0,460,23918,"",0.81,0.77,0.70,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","491110","78","0","1990","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,44,1042425,0,0,460,23918,"",0.81,0.77,0.70,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","92","74","0","1990","A","","Panola County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,21,575339,0,0,540,28065,"",2.28,0.18,0.20,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","924","75","0","1990","A","","Panola County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,103813,0,0,510,26505,"",4.32,0.51,0.54,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","9241","76","0","1990","A","","Panola County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,103813,0,0,510,26505,"",4.32,0.51,0.54,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","92412","77","0","1990","A","","Panola County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,103813,0,0,510,26505,"",4.39,0.59,0.65,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","924120","78","0","1990","A","","Panola County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,103813,0,0,510,26505,"",4.39,0.59,0.65,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","926","75","0","1990","A","","Panola County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,17,471526,0,0,547,28434,"",2.84,0.95,1.15,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","9261","76","0","1990","A","","Panola County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,17,471526,0,0,547,28434,"",2.84,0.95,1.15,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","92614","77","0","1990","A","","Panola County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,17,471526,0,0,547,28434,"",4.96,4.76,5.10,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","1","926140","78","0","1990","A","","Panola County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,17,471526,0,0,547,28434,"",4.96,4.76,5.10,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","10","71","0","1990","A","","Panola County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,58,1288651,0,0,425,22123,"",1.70,0.21,0.22,0.00,0.00,1.03,1.03,"",1,16.7,0,0.0,41396,3.3,0,0.0,0,0.0,12,2.9,619,2.9
"48365","2","1028","73","0","1990","A","","Panola County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,14,301610,0,0,419,21803,"",1.70,0.13,0.12,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","92","74","0","1990","A","","Panola County, Texas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,14,301610,0,0,419,21803,"",1.70,0.13,0.12,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","10","71","0","1990","A","","Panola County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,1309,22641810,0,0,333,17301,"",3.16,1.80,1.59,0.00,0.00,0.89,0.89,"",0,0.0,45,3.6,1358210,6.4,-960803,-100.0,-5762,-100.0,10,3.1,463,2.7
"48365","3","1025","73","0","1990","A","","Panola County, Texas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",8,1085,18536053,0,0,329,17092,"",4.40,2.42,2.16,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","1028","73","0","1990","A","","Panola County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,172,3255331,0,0,364,18936,"",3.30,0.81,0.77,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","92","74","0","1990","A","","Panola County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,172,3255331,0,0,364,18936,"",3.30,0.81,0.77,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","921","75","0","1990","A","","Panola County, Texas","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,109,2194736,0,0,389,20228,"",2.37,0.74,0.82,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","9211","76","0","1990","A","","Panola County, Texas","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,109,2194736,0,0,389,20228,"",2.37,0.74,0.82,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","5","10","71","0","1990","A","","Panola County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",410,6062,120392383,0,0,382,19862,"",0.95,0.97,1.00,0.00,0.00,1.03,1.03,"",0,0.0,-34,-0.6,-1971701,-1.6,-51828800,-100.0,-1982661,-100.0,-4,-1.0,-210,-1.0
"48365","5","101","72","0","1990","A","","Panola County, Texas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",112,2751,55174550,0,0,386,20059,"",1.30,1.61,1.44,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","5","1011","73","0","1990","A","","Panola County, Texas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",56,799,20081843,0,0,483,25142,"",6.10,6.65,8.87,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","5","1012","73","0","1990","A","","Panola County, Texas","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",44,801,17944082,0,0,431,22390,"",0.91,2.24,2.31,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","5","1013","73","0","1990","A","","Panola County, Texas","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",12,1151,17148625,0,0,287,14905,"",0.42,0.94,0.60,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
