"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48445","0","10","70","0","1990","A","","Terry County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",405,3619,68313159,0,0,363,18875,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,3.8,4,0.1,4349272,6.8,-22919219,-100.0,-795016,-100.0,23,6.8,1181,6.7
"48445","1","10","71","0","1990","A","","Terry County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,45,1034643,0,0,446,23207,"",1.62,0.42,0.40,0.00,0.00,0.96,0.96,"",0,0.0,-4,-8.2,-149789,-12.6,0,0.0,0,0.0,-18,-3.9,-965,-4.0
"48445","1","102","72","0","1990","A","","Terry County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,45,1034643,0,0,446,23207,"",1.63,0.44,0.42,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","1021","73","0","1990","A","","Terry County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,21,603446,0,0,546,28397,"",0.85,0.66,0.76,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","1028","73","0","1990","A","","Terry County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,23,431197,0,0,355,18480,"",2.51,0.41,0.32,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","48-49","74","0","1990","A","","Terry County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,603446,0,0,546,28397,"",0.88,0.73,0.81,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","491","75","0","1990","A","","Terry County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,603446,0,0,546,28397,"",0.89,0.76,0.86,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","4911","76","0","1990","A","","Terry County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,603446,0,0,546,28397,"",0.89,0.76,0.86,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","49111","77","0","1990","A","","Terry County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,603446,0,0,546,28397,"",0.89,0.76,0.86,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","491110","78","0","1990","A","","Terry County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,603446,0,0,546,28397,"",0.89,0.76,0.86,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","92","74","0","1990","A","","Terry County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,23,431197,0,0,355,18480,"",2.51,0.41,0.32,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","924","75","0","1990","A","","Terry County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,318412,0,0,402,20879,"",4.76,3.96,3.54,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","9241","76","0","1990","A","","Terry County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,15,318412,0,0,402,20879,"",4.76,3.96,3.54,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","92412","77","0","1990","A","","Terry County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,15,318412,0,0,402,20879,"",4.83,4.56,4.29,0.00,0.00,0.93,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","924120","78","0","1990","A","","Terry County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,15,318412,0,0,402,20879,"",4.83,4.56,4.29,0.00,0.00,0.93,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","926","75","0","1990","A","","Terry County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,112785,0,0,268,13953,"",3.13,0.93,0.59,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","9261","76","0","1990","A","","Terry County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,112785,0,0,268,13953,"",3.13,0.93,0.59,0.00,0.00,0.63,0.63,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","92614","77","0","1990","A","","Terry County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,11878,0,0,144,7502,"",2.73,1.16,0.27,0.00,0.00,0.30,0.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","1","926140","78","0","1990","A","","Terry County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,11878,0,0,144,7502,"",2.73,1.16,0.27,0.00,0.00,0.30,0.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","2","10","71","0","1990","A","","Terry County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,62,1548919,0,0,479,24916,"",2.40,0.47,0.56,0.00,0.00,1.20,1.20,"",2,28.6,0,0.0,90851,6.2,0,0.0,0,0.0,27,6.0,1399,5.9
"48445","2","1028","73","0","1990","A","","Terry County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,16,482187,0,0,592,30778,"",2.24,0.30,0.41,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","2","92","74","0","1990","A","","Terry County, Texas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,16,482187,0,0,592,30778,"",2.24,0.30,0.41,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","3","10","71","0","1990","A","","Terry County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",31,780,15480567,0,0,382,19843,"",4.49,2.22,2.33,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,725633,4.9,-164332,-100.0,-987,-100.0,19,5.2,927,4.9
"48445","3","1025","73","0","1990","A","","Terry County, Texas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,585,11969528,0,0,394,20475,"",3.03,2.70,2.98,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","3","1028","73","0","1990","A","","Terry County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,113,2053572,0,0,349,18160,"",4.47,1.10,1.03,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","3","92","74","0","1990","A","","Terry County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",16,113,2053572,0,0,349,18160,"",4.47,1.10,1.03,0.00,0.00,0.94,0.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","3","921","75","0","1990","A","","Terry County, Texas","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,29,557937,0,0,367,19075,"",2.61,0.41,0.44,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48445","3","9211","76","0","1990","A","","Terry County, Texas","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,29,557937,0,0,367,19075,"",2.61,0.41,0.44,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
