"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48455","0","10","70","0","1990","A","","Trinity County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",229,2006,28652074,0,0,275,14280,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,3.2,-153,-7.1,1815506,6.8,-10792550,-100.0,-245655,-100.0,36,15.1,1850,14.9
"48455","1","10","71","0","1990","A","","Trinity County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,68,1298560,0,0,370,19214,"",2.87,1.14,1.19,0.00,0.00,1.05,1.05,"",0,0.0,-3,-4.2,55878,4.5,0,0.0,0,0.0,34,10.1,1712,9.8
"48455","1","102","72","0","1990","A","","Trinity County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,68,1298560,0,0,370,19214,"",2.88,1.19,1.25,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","1021","73","0","1990","A","","Trinity County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,27,623865,0,0,444,23106,"",1.50,1.53,1.88,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","1028","73","0","1990","A","","Trinity County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,38,636549,0,0,319,16570,"",3.33,1.24,1.13,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","48-49","74","0","1990","A","","Trinity County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,623865,0,0,444,23106,"",1.55,1.68,1.99,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","491","75","0","1990","A","","Trinity County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,623865,0,0,444,23106,"",1.58,1.77,2.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","4911","76","0","1990","A","","Trinity County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,623865,0,0,444,23106,"",1.58,1.77,2.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","49111","77","0","1990","A","","Trinity County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,623865,0,0,444,23106,"",1.58,1.77,2.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","491110","78","0","1990","A","","Trinity County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,623865,0,0,444,23106,"",1.58,1.77,2.12,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","92","74","0","1990","A","","Trinity County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,38,636549,0,0,319,16570,"",3.33,1.24,1.13,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","924","75","0","1990","A","","Trinity County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,38,636549,0,0,319,16570,"",12.63,18.08,16.90,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","9241","76","0","1990","A","","Trinity County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,38,636549,0,0,319,16570,"",12.63,18.08,16.90,0.00,0.00,0.92,0.92,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","92412","77","0","1990","A","","Trinity County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,38,636549,0,0,319,16570,"",12.81,20.86,20.44,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","1","924120","78","0","1990","A","","Trinity County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,38,636549,0,0,319,16570,"",12.81,20.86,20.44,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","2","10","71","0","1990","A","","Trinity County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,31,701846,0,0,432,22459,"",3.78,0.42,0.61,0.00,0.00,1.43,1.43,"",2,33.3,0,0.0,-13951,-1.9,0,0.0,0,0.0,-12,-2.7,-631,-2.7
"48455","3","10","71","0","1990","A","","Trinity County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,523,8564066,0,0,315,16367,"",5.38,2.68,3.07,0.00,0.00,1.15,1.15,"",0,0.0,22,4.4,681336,8.6,-1028329,-100.0,-6172,-100.0,13,4.3,634,4.0
"48455","3","1025","73","0","1990","A","","Trinity County, Texas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,410,7230516,0,0,339,17621,"",7.49,3.41,4.29,0.00,0.00,1.25,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","3","1028","73","0","1990","A","","Trinity County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,94,1004589,0,0,206,10735,"",5.44,1.64,1.20,0.00,0.00,0.73,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","3","92","74","0","1990","A","","Trinity County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,94,1004589,0,0,206,10735,"",5.44,1.64,1.20,0.00,0.00,0.73,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","3","921","75","0","1990","A","","Trinity County, Texas","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,59,681242,0,0,221,11482,"",3.85,1.49,1.29,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","3","9211","76","0","1990","A","","Trinity County, Texas","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,59,681242,0,0,221,11482,"",3.85,1.49,1.29,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","10","71","0","1990","A","","Trinity County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",196,1384,18087602,0,0,251,13066,"",0.89,0.82,0.77,0.00,0.00,0.93,0.93,"",6,3.2,-172,-11.1,1092243,6.4,-9764221,-100.0,-239483,-100.0,41,19.5,2144,19.6
"48455","5","101","72","0","1990","A","","Trinity County, Texas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",41,357,6176888,0,0,333,17318,"",0.93,0.78,0.82,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1011","73","0","1990","A","","Trinity County, Texas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",14,64,1113533,0,0,336,17467,"",2.97,1.99,2.51,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1012","73","0","1990","A","","Trinity County, Texas","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",18,65,851268,0,0,253,13147,"",0.72,0.68,0.56,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1013","73","0","1990","A","","Trinity County, Texas","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",9,228,4212087,0,0,355,18461,"",0.62,0.69,0.76,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","102","72","0","1990","A","","Trinity County, Texas","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",154,1028,11910714,0,0,223,11590,"",0.87,0.84,0.74,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1021","73","0","1990","A","","Trinity County, Texas","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",75,378,5469542,0,0,278,14466,"",1.25,0.91,1.02,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1023","73","0","1990","A","","Trinity County, Texas","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",9,63,1042938,0,0,320,16665,"",0.45,0.50,0.48,0.00,0.00,0.96,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1025","73","0","1990","A","","Trinity County, Texas","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,201,1928910,0,0,185,9613,"",0.36,1.02,0.71,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1026","73","0","1990","A","","Trinity County, Texas","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",19,197,1535858,0,0,150,7800,"",1.03,1.13,1.43,0.00,0.00,1.26,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","1027","73","0","1990","A","","Trinity County, Texas","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",29,131,1095228,0,0,161,8387,"",1.14,2.05,1.80,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","11","74","0","1990","A","","Trinity County, Texas","Private","Agriculture, forestry, fishing and hunting","County, NAICS Sector -- by ownership sector","All establishment sizes",13,57,967058,0,0,328,17066,"",3.66,2.86,5.76,0.00,0.00,2.02,2.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","23","74","0","1990","A","","Trinity County, Texas","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",18,65,851268,0,0,253,13147,"",0.72,0.68,0.56,0.00,0.00,0.82,0.82,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","238","75","0","1990","A","","Trinity County, Texas","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,41,496771,0,0,236,12266,"",0.80,0.73,0.59,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","31-33","74","0","1990","A","","Trinity County, Texas","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,228,4212087,0,0,355,18461,"",0.62,0.69,0.76,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","42","74","0","1990","A","","Trinity County, Texas","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",10,74,1951383,0,0,510,26519,"",0.55,0.77,1.10,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","424","75","0","1990","A","","Trinity County, Texas","Private","Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,58,1560733,0,0,520,27026,"",1.53,1.84,2.93,0.00,0.00,1.60,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","44-45","74","0","1990","A","","Trinity County, Texas","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",56,278,2957902,0,0,205,10640,"",1.57,1.12,1.27,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","447","75","0","1990","A","","Trinity County, Texas","Private","Gasoline stations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,35,252793,0,0,140,7275,"",1.94,2.09,2.21,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","4471","76","0","1990","A","","Trinity County, Texas","Private","Gasoline stations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,35,252793,0,0,140,7275,"",1.94,2.09,2.21,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","452","75","0","1990","A","","Trinity County, Texas","Private","General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,70,718614,0,0,197,10254,"",5.64,1.47,2.03,0.00,0.00,1.37,1.37,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","4529","76","0","1990","A","","Trinity County, Texas","Private","Other general merchandise stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,70,718614,0,0,197,10254,"",7.52,4.02,5.55,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","45299","77","0","1990","A","","Trinity County, Texas","Private","All other general merchandise stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,33,383954,0,0,224,11664,"",6.57,5.53,9.65,0.00,0.00,1.74,1.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","452990","78","0","1990","A","","Trinity County, Texas","Private","All other general merchandise stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,33,383954,0,0,224,11664,"",6.57,5.53,9.65,0.00,0.00,1.74,1.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","52","74","0","1990","A","","Trinity County, Texas","Private","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",8,61,1020223,0,0,324,16863,"",0.79,0.65,0.58,0.00,0.00,0.89,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","54","74","0","1990","A","","Trinity County, Texas","Private","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",10,17,162551,0,0,189,9852,"",0.52,0.19,0.09,0.00,0.00,0.46,0.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","541","75","0","1990","A","","Trinity County, Texas","Private","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,17,162551,0,0,189,9852,"",0.52,0.19,0.09,0.00,0.00,0.46,0.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","62","74","0","1990","A","","Trinity County, Texas","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",7,201,1928910,0,0,185,9613,"",0.39,1.17,0.80,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","621","75","0","1990","A","","Trinity County, Texas","Private","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,49,297942,0,0,116,6039,"",0.28,0.89,0.27,0.00,0.00,0.31,0.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","722","75","0","1990","A","","Trinity County, Texas","Private","Food services and drinking places","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,101,578024,0,0,110,5699,"",0.88,0.87,0.98,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","81","74","0","1990","A","","Trinity County, Texas","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",29,131,1095228,0,0,161,8387,"",1.14,2.05,1.80,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","811","75","0","1990","A","","Trinity County, Texas","Private","Repair and maintenance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,37,391826,0,0,206,10711,"",1.24,1.96,1.75,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48455","5","813","75","0","1990","A","","Trinity County, Texas","Private","Membership associations and organizations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,77,574254,0,0,144,7507,"",1.95,3.99,3.03,0.00,0.00,0.76,0.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
