"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48495","0","10","70","0","1990","A","","Winkler County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",215,2428,47365290,0,0,375,19507,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-0.9,135,5.9,4834576,11.4,-13799279,-100.0,-429843,-100.0,19,5.3,959,5.2
"48495","1","10","71","0","1990","A","","Winkler County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,13,413167,0,0,636,33053,"",2.44,0.18,0.23,0.00,0.00,1.32,1.32,"",1,33.3,-2,-13.3,-21660,-5.0,0,0.0,0,0.0,79,14.2,4065,14.0
"48495","1","102","72","0","1990","A","","Winkler County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,13,413167,0,0,636,33053,"",2.46,0.19,0.24,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","1021","73","0","1990","A","","Winkler County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,338914,0,0,652,33891,"",1.60,0.47,0.62,0.00,0.00,1.33,1.33,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","1028","73","0","1990","A","","Winkler County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,2,25808,0,0,331,17205,"",2.37,0.05,0.03,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","48-49","74","0","1990","A","","Winkler County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,338914,0,0,652,33891,"",1.65,0.51,0.66,0.00,0.00,1.28,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","491","75","0","1990","A","","Winkler County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,338914,0,0,652,33891,"",1.68,0.54,0.70,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","4911","76","0","1990","A","","Winkler County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,338914,0,0,652,33891,"",1.68,0.54,0.70,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","49111","77","0","1990","A","","Winkler County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,338914,0,0,652,33891,"",1.68,0.54,0.70,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48495","1","491110","78","0","1990","A","","Winkler County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,338914,0,0,652,33891,"",1.68,0.54,0.70,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
