"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49007","0","10","70","0","1990","A","","Carbon County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",515,7382,151818856,0,0,395,20565,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,1.4,269,3.8,10217567,7.2,-58673373,-100.0,-1404652,-100.0,13,3.4,658,3.3
"49007","1","10","71","0","1990","A","","Carbon County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,175,5229524,0,0,574,29869,"",3.32,0.80,0.91,0.00,0.00,1.13,1.13,"",-5,-27.8,-3,-1.7,186919,3.7,0,0.0,0,0.0,30,5.5,1540,5.4
"49007","1","102","72","0","1990","A","","Carbon County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,175,5229524,0,0,574,29869,"",3.34,0.84,0.95,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","1021","73","0","1990","A","","Carbon County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,40,1103696,0,0,531,27592,"",3.34,0.61,0.63,0.00,0.00,1.03,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","1023","73","0","1990","A","","Carbon County, Utah","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,88540,0,0,475,24709,"",6.34,1.63,1.30,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","1028","73","0","1990","A","","Carbon County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,132,4037288,0,0,590,30702,"",3.46,1.17,1.35,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","48-49","74","0","1990","A","","Carbon County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,40,1103696,0,0,531,27592,"",3.45,0.68,0.67,0.00,0.00,0.99,0.98,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","491","75","0","1990","A","","Carbon County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,40,1103696,0,0,531,27592,"",3.52,0.71,0.71,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","4911","76","0","1990","A","","Carbon County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,40,1103696,0,0,531,27592,"",3.52,0.71,0.71,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","49111","77","0","1990","A","","Carbon County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,40,1103696,0,0,531,27592,"",3.52,0.71,0.71,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","491110","78","0","1990","A","","Carbon County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,40,1103696,0,0,531,27592,"",3.52,0.71,0.71,0.00,0.00,1.00,0.99,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","52","74","0","1990","A","","Carbon County, Utah","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,88540,0,0,475,24709,"",6.37,1.66,1.32,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","522","75","0","1990","A","","Carbon County, Utah","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,88540,0,0,475,24709,"",7.42,4.39,4.47,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","5222","76","0","1990","A","","Carbon County, Utah","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,88540,0,0,475,24709,"",7.43,4.41,4.48,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","52229","77","0","1990","A","","Carbon County, Utah","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,88540,0,0,475,24709,"",7.43,4.41,4.48,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49007","1","522292","78","0","1990","A","","Carbon County, Utah","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,88540,0,0,475,24709,"",16.25,9.24,9.65,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
