"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49027","0","10","70","0","1990","A","","Millard County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",284,3579,72899939,0,0,392,20367,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",12,4.4,207,6.1,5515976,8.2,-26653180,-100.0,-569125,-100.0,8,2.1,384,1.9
"49027","1","10","71","0","1990","A","","Millard County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,90,2043607,0,0,435,22602,"",9.71,0.85,0.74,0.00,0.00,0.86,0.86,"",-2,-8.7,-10,-10.0,-68257,-3.2,0,0.0,0,0.0,29,7.1,1484,7.0
"49027","1","102","72","0","1990","A","","Millard County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,90,2043607,0,0,435,22602,"",9.77,0.89,0.77,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","1021","73","0","1990","A","","Millard County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,26,561300,0,0,413,21451,"",12.13,0.82,0.67,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","1028","73","0","1990","A","","Millard County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,64,1482307,0,0,444,23071,"",9.85,1.17,1.03,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","48-49","74","0","1990","A","","Millard County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,26,561300,0,0,413,21451,"",12.50,0.91,0.71,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","491","75","0","1990","A","","Millard County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,26,561300,0,0,413,21451,"",12.75,0.96,0.75,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","4911","76","0","1990","A","","Millard County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,26,561300,0,0,413,21451,"",12.75,0.96,0.75,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","49111","77","0","1990","A","","Millard County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,26,561300,0,0,413,21451,"",12.75,0.96,0.75,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","491110","78","0","1990","A","","Millard County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,26,561300,0,0,413,21451,"",12.75,0.96,0.75,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","92","74","0","1990","A","","Millard County, Utah","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,64,1482307,0,0,444,23071,"",9.85,1.17,1.03,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","924","75","0","1990","A","","Millard County, Utah","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,43,1045006,0,0,469,24397,"",10.18,11.47,10.90,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","9241","76","0","1990","A","","Millard County, Utah","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,43,1045006,0,0,469,24397,"",10.18,11.47,10.90,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","92412","77","0","1990","A","","Millard County, Utah","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,43,1045006,0,0,469,24397,"",10.33,13.23,13.19,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","924120","78","0","1990","A","","Millard County, Utah","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,43,1045006,0,0,469,24397,"",10.33,13.23,13.19,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","926","75","0","1990","A","","Millard County, Utah","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,21,437301,0,0,393,20419,"",17.87,2.46,2.13,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","9261","76","0","1990","A","","Millard County, Utah","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,21,437301,0,0,393,20419,"",17.87,2.46,2.13,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49027","1","92614","77","0","1990","A","","Millard County, Utah","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,13,324665,0,0,465,24199,"",23.35,7.63,7.03,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
