"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49049","0","10","70","0","1990","A","","Utah County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4514,86888,1590366932,0,0,352,18304,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",185,4.3,9401,12.1,216043834,15.7,-551275518,-100.0,-7591772,-100.0,11,3.2,568,3.2
"49049","1","10","71","0","1990","A","","Utah County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",42,944,23885215,0,0,487,25311,"",1.22,0.37,0.40,0.00,0.00,1.08,1.08,"",-2,-4.5,95,11.2,4308618,22.0,0,0.0,0,0.0,44,9.9,2253,9.8
"49049","1","102","72","0","1990","A","","Utah County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",42,944,23885215,0,0,487,25311,"",1.23,0.38,0.41,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","1021","73","0","1990","A","","Utah County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,471,14634191,0,0,597,31059,"",1.07,0.61,0.80,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","1023","73","0","1990","A","","Utah County, Utah","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,101721,0,0,479,24911,"",0.72,0.14,0.14,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","1026","73","0","1990","A","","Utah County, Utah","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,23,384483,0,0,329,17088,"",1.54,0.44,0.64,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","1028","73","0","1990","A","","Utah County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",25,445,8762360,0,0,379,19683,"",1.41,0.33,0.28,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","48-49","74","0","1990","A","","Utah County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,471,14634191,0,0,597,31059,"",1.10,0.68,0.84,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","491","75","0","1990","A","","Utah County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,471,14634191,0,0,597,31059,"",1.12,0.71,0.90,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","4911","76","0","1990","A","","Utah County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,471,14634191,0,0,597,31059,"",1.12,0.71,0.90,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","49111","77","0","1990","A","","Utah County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,471,14634191,0,0,597,31059,"",1.12,0.71,0.90,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","491110","78","0","1990","A","","Utah County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,471,14634191,0,0,597,31059,"",1.12,0.71,0.90,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","52","74","0","1990","A","","Utah County, Utah","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,101721,0,0,479,24911,"",0.73,0.14,0.14,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","522","75","0","1990","A","","Utah County, Utah","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,101721,0,0,479,24911,"",0.85,0.37,0.49,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","5222","76","0","1990","A","","Utah County, Utah","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,101721,0,0,479,24911,"",0.85,0.37,0.49,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","52229","77","0","1990","A","","Utah County, Utah","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,101721,0,0,479,24911,"",0.85,0.37,0.49,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","522292","78","0","1990","A","","Utah County, Utah","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,101721,0,0,479,24911,"",1.85,0.78,1.06,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","71","74","0","1990","A","","Utah County, Utah","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,23,384483,0,0,329,17088,"",2.48,0.70,0.87,0.00,0.00,1.28,1.28,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","712","75","0","1990","A","","Utah County, Utah","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,384483,0,0,329,17088,"",3.80,1.33,1.26,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","7121","76","0","1990","A","","Utah County, Utah","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,384483,0,0,329,17088,"",3.80,1.33,1.26,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","71219","77","0","1990","A","","Utah County, Utah","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,384483,0,0,329,17088,"",4.31,1.91,1.98,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49049","1","712190","78","0","1990","A","","Utah County, Utah","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,384483,0,0,329,17088,"",4.31,1.91,1.98,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
