"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51141","0","10","70","0","1990","A","","Patrick County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",294,5245,79296438,0,0,291,15118,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",16,5.8,160,3.1,6306695,8.6,-29046943,-100.0,-512994,-100.0,15,5.4,765,5.3
"51141","1","10","71","0","1990","A","","Patrick County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,51,1135757,0,0,427,22197,"",3.13,0.33,0.38,0.00,0.00,1.14,1.14,"",1,16.7,-1,-1.9,78796,7.5,0,0.0,0,0.0,37,9.5,1871,9.2
"51141","1","102","72","0","1990","A","","Patrick County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,51,1135757,0,0,427,22197,"",3.15,0.34,0.39,0.00,0.00,1.14,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","1021","73","0","1990","A","","Patrick County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,40,893753,0,0,430,22344,"",3.51,0.86,0.98,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","1028","73","0","1990","A","","Patrick County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,11,242004,0,0,417,21672,"",3.46,0.14,0.15,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","48-49","74","0","1990","A","","Patrick County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,40,893753,0,0,430,22344,"",3.62,0.95,1.03,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","491","75","0","1990","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,40,893753,0,0,430,22344,"",3.70,1.00,1.10,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","4911","76","0","1990","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,40,893753,0,0,430,22344,"",3.70,1.00,1.10,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","49111","77","0","1990","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,40,893753,0,0,430,22344,"",3.70,1.00,1.10,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51141","1","491110","78","0","1990","A","","Patrick County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,40,893753,0,0,430,22344,"",3.70,1.00,1.10,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
