"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51143","0","10","70","0","1990","A","","Pittsylvania County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",782,14579,302040740,0,0,398,20718,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",47,6.4,-967,-6.2,-16521693,-5.2,-104776453,-100.0,-2335076,-100.0,4,1.0,227,1.1
"51143","1","10","71","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,111,2576998,0,0,447,23251,"",2.02,0.26,0.22,0.00,0.00,0.87,0.87,"",4,50.0,1,0.9,221070,9.4,0,0.0,0,0.0,36,8.8,1834,8.6
"51143","1","102","72","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,111,2576998,0,0,447,23251,"",2.03,0.27,0.23,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","1021","73","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,77,1843851,0,0,459,23869,"",1.76,0.60,0.53,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","1028","73","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,25,547132,0,0,428,22256,"",2.28,0.11,0.09,0.00,0.00,0.84,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","48-49","74","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,77,1843851,0,0,459,23869,"",1.82,0.66,0.56,0.00,0.00,0.85,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","491","75","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,77,1843851,0,0,459,23869,"",1.85,0.70,0.60,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","4911","76","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,77,1843851,0,0,459,23869,"",1.85,0.70,0.60,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","49111","77","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,77,1843851,0,0,459,23869,"",1.85,0.70,0.60,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51143","1","491110","78","0","1990","A","","Pittsylvania County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,77,1843851,0,0,459,23869,"",1.85,0.70,0.60,0.00,0.00,0.85,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
