"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51163","0","10","70","0","1990","A","","Rockbridge County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",309,5802,95009892,0,0,315,16376,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",15,5.1,182,3.2,5414371,6.0,-34198158,-100.0,-677438,-100.0,9,2.9,434,2.7
"51163","1","10","71","0","1990","A","","Rockbridge County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,64,1351984,0,0,408,21235,"",2.13,0.37,0.37,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,166332,14.0,0,0.0,0,0.0,52,14.6,2710,14.6
"51163","1","102","72","0","1990","A","","Rockbridge County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,64,1351984,0,0,408,21235,"",2.14,0.39,0.39,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","1021","73","0","1990","A","","Rockbridge County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,29,709506,0,0,464,24119,"",3.34,0.57,0.65,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","1028","73","0","1990","A","","Rockbridge County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,34,642478,0,0,361,18758,"",1.65,0.38,0.34,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","48-49","74","0","1990","A","","Rockbridge County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,29,709506,0,0,464,24119,"",3.45,0.62,0.68,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","491","75","0","1990","A","","Rockbridge County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,29,709506,0,0,464,24119,"",3.52,0.66,0.73,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","4911","76","0","1990","A","","Rockbridge County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,29,709506,0,0,464,24119,"",3.52,0.66,0.73,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","49111","77","0","1990","A","","Rockbridge County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,29,709506,0,0,464,24119,"",3.52,0.66,0.73,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","491110","78","0","1990","A","","Rockbridge County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,29,709506,0,0,464,24119,"",3.52,0.66,0.73,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","92","74","0","1990","A","","Rockbridge County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,34,642478,0,0,361,18758,"",1.65,0.38,0.34,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","924","75","0","1990","A","","Rockbridge County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,34,642478,0,0,361,18758,"",6.24,5.59,5.14,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","9241","76","0","1990","A","","Rockbridge County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,34,642478,0,0,361,18758,"",6.24,5.59,5.14,0.00,0.00,0.91,0.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","92412","77","0","1990","A","","Rockbridge County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,34,642478,0,0,361,18758,"",6.33,6.45,6.22,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","1","924120","78","0","1990","A","","Rockbridge County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,34,642478,0,0,361,18758,"",6.33,6.45,6.22,0.00,0.00,0.96,0.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","2","10","71","0","1990","A","","Rockbridge County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,306,6578601,0,0,414,21528,"",3.15,1.44,1.72,0.00,0.00,1.19,1.19,"",-1,-10.0,10,3.4,-12812,-0.2,0,0.0,0,0.0,-14,-3.3,-740,-3.3
"51163","2","1028","73","0","1990","A","","Rockbridge County, Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,101,2330362,0,0,444,23073,"",2.94,1.17,1.41,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51163","2","92","74","0","1990","A","","Rockbridge County, Virginia","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,101,2330362,0,0,444,23073,"",2.94,1.17,1.41,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
