"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51179","0","10","70","0","1990","A","","Stafford County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",859,11254,217982363,0,0,372,19370,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",93,12.1,496,4.6,19227405,9.7,-69924990,-100.0,-520877,-100.0,17,4.8,895,4.8
"51179","1","10","71","0","1990","A","","Stafford County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,75,1816448,0,0,465,24166,"",0.61,0.23,0.22,0.00,0.00,0.97,0.97,"",0,0.0,8,11.9,509280,39.0,0,0.0,0,0.0,90,24.0,4657,23.9
"51179","1","102","72","0","1990","A","","Stafford County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,75,1816448,0,0,465,24166,"",0.62,0.23,0.23,0.00,0.00,0.98,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","1021","73","0","1990","A","","Stafford County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,58,1316497,0,0,440,22896,"",1.20,0.58,0.52,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","1026","73","0","1990","A","","Stafford County, Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,18,499951,0,0,544,28299,"",8.07,2.65,6.11,0.00,0.00,2.35,2.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","48-49","74","0","1990","A","","Stafford County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,58,1316497,0,0,440,22896,"",1.24,0.64,0.55,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","491","75","0","1990","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,58,1316497,0,0,440,22896,"",1.27,0.68,0.59,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","4911","76","0","1990","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,58,1316497,0,0,440,22896,"",1.27,0.68,0.59,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","49111","77","0","1990","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,58,1316497,0,0,440,22896,"",1.27,0.68,0.59,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","491110","78","0","1990","A","","Stafford County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,58,1316497,0,0,440,22896,"",1.27,0.68,0.59,0.00,0.00,0.88,0.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","71","74","0","1990","A","","Stafford County, Virginia","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,18,499951,0,0,544,28299,"",13.05,4.20,8.23,0.00,0.00,2.00,2.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","712","75","0","1990","A","","Stafford County, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,18,499951,0,0,544,28299,"",19.95,8.01,11.95,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","7121","76","0","1990","A","","Stafford County, Virginia","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,18,499951,0,0,544,28299,"",19.95,8.01,11.95,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","71219","77","0","1990","A","","Stafford County, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,499951,0,0,544,28299,"",22.63,11.54,18.75,0.00,0.00,1.66,1.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","1","712190","78","0","1990","A","","Stafford County, Virginia","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,18,499951,0,0,544,28299,"",22.63,11.54,18.75,0.00,0.00,1.66,1.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","2","10","71","0","1990","A","","Stafford County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,68,1461634,0,0,414,21521,"",1.13,0.17,0.17,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,48812,3.5,0,0.0,0,0.0,15,3.8,745,3.6
"51179","2","102","72","0","1990","A","","Stafford County, Virginia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,68,1461634,0,0,414,21521,"",1.17,0.17,0.17,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","2","922","75","0","1990","A","","Stafford County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,50,1143268,0,0,442,22980,"",3.58,0.96,0.91,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","2","9221","76","0","1990","A","","Stafford County, Virginia","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,50,1143268,0,0,442,22980,"",3.58,0.96,0.91,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","3","10","71","0","1990","A","","Stafford County, Virginia","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,2258,47010085,0,0,400,20819,"",1.43,2.06,2.22,0.00,0.00,1.08,1.07,"",1,5.0,175,8.4,6333107,15.6,0,0.0,0,0.0,25,6.7,1291,6.6
"51179","3","102","72","0","1990","A","","Stafford County, Virginia","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,2258,47010085,0,0,400,20819,"",1.50,2.08,2.24,0.00,0.00,1.08,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51179","3","1028","73","0","1990","A","","Stafford County, Virginia","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,260,6823910,0,0,504,26212,"",1.58,0.81,1.08,0.00,0.00,1.33,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
