"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53015","0","10","70","0","1990","A","","Cowlitz County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2091,33658,770412782,0,0,440,22890,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",89,4.4,1471,4.6,58580370,8.2,-348990547,-100.0,-11002670,-100.0,15,3.5,775,3.5
"53015","1","10","71","0","1990","A","","Cowlitz County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,221,7019719,0,0,610,31704,"",1.63,0.22,0.24,0.00,0.00,1.08,1.08,"",2,8.3,-10,-4.3,486965,7.5,0,0.0,0,0.0,67,12.3,3424,12.1
"53015","1","102","72","0","1990","A","","Cowlitz County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,221,7019719,0,0,610,31704,"",1.64,0.23,0.25,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","1021","73","0","1990","A","","Cowlitz County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,152,5177332,0,0,655,34061,"",1.81,0.51,0.58,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","1028","73","0","1990","A","","Cowlitz County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,64,1691170,0,0,511,26563,"",1.58,0.12,0.11,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","22","74","0","1990","A","","Cowlitz County, Washington","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",2,15,814338,0,0,1056,54899,"",26.37,2.48,3.48,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","221","75","0","1990","A","","Cowlitz County, Washington","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,15,814338,0,0,1056,54899,"",26.37,2.48,3.48,0.00,0.00,1.42,1.42,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","2211","76","0","1990","A","","Cowlitz County, Washington","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,814338,0,0,1056,54899,"",14.80,2.61,3.63,0.00,0.00,1.41,1.41,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","22112","77","0","1990","A","","Cowlitz County, Washington","Federal Government","Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,814338,0,0,1056,54899,"",20.57,6.28,8.56,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","221121","78","0","1990","A","","Cowlitz County, Washington","Federal Government","Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,814338,0,0,1056,54899,"",49.17,6.82,9.17,0.00,0.00,1.36,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","48-49","74","0","1990","A","","Cowlitz County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,137,4362994,0,0,612,31808,"",1.53,0.51,0.52,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","491","75","0","1990","A","","Cowlitz County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,137,4362994,0,0,612,31808,"",1.56,0.54,0.55,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","4911","76","0","1990","A","","Cowlitz County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,137,4362994,0,0,612,31808,"",1.56,0.54,0.55,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","49111","77","0","1990","A","","Cowlitz County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,137,4362994,0,0,612,31808,"",1.56,0.54,0.55,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","491110","78","0","1990","A","","Cowlitz County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,137,4362994,0,0,612,31808,"",1.56,0.54,0.55,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","92","74","0","1990","A","","Cowlitz County, Washington","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,64,1691170,0,0,511,26563,"",1.58,0.12,0.11,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","921","75","0","1990","A","","Cowlitz County, Washington","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,142860,0,0,916,47620,"",1.51,0.04,0.06,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","9211","76","0","1990","A","","Cowlitz County, Washington","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,142860,0,0,916,47620,"",1.51,0.04,0.06,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","92113","77","0","1990","A","","Cowlitz County, Washington","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,142860,0,0,916,47620,"",2.38,0.06,0.11,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","921130","78","0","1990","A","","Cowlitz County, Washington","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,142860,0,0,916,47620,"",2.38,0.06,0.11,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","922","75","0","1990","A","","Cowlitz County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,21541,0,0,1243,64623,"",3.39,0.00,0.02,0.00,0.00,1.85,1.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","9221","76","0","1990","A","","Cowlitz County, Washington","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,21541,0,0,1243,64623,"",3.39,0.00,0.02,0.00,0.00,1.85,1.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","92219","77","0","1990","A","","Cowlitz County, Washington","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.99,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","922190","78","0","1990","A","","Cowlitz County, Washington","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.99,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53015","1","923","75","0","1990","A","","Cowlitz County, Washington","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,402162,0,0,549,28556,"",1.55,0.32,0.29,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
