"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53025","0","10","70","0","1990","A","","Grant County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2107,20707,344866457,0,0,320,16655,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",545,34.9,2313,12.6,46371190,15.5,-151646613,-100.0,-5259190,-100.0,8,2.6,428,2.6
"53025","1","10","71","0","1990","A","","Grant County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,311,9472115,0,0,585,30432,"",1.87,0.51,0.72,0.00,0.00,1.42,1.42,"",-2,-6.2,7,2.3,787036,9.1,0,0.0,0,0.0,36,6.6,1863,6.5
"53025","1","102","72","0","1990","A","","Grant County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",30,311,9472115,0,0,585,30432,"",1.88,0.53,0.76,0.00,0.00,1.43,1.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","1021","73","0","1990","A","","Grant County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,170,5622572,0,0,635,33009,"",2.62,0.93,1.41,0.00,0.00,1.51,1.51,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","1025","73","0","1990","A","","Grant County, Washington","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,54,1273059,0,0,452,23503,"",6.14,1.07,1.16,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","1028","73","0","1990","A","","Grant County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,87,2576484,0,0,571,29700,"",1.57,0.27,0.38,0.00,0.00,1.39,1.39,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","22","74","0","1990","A","","Grant County, Washington","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",5,72,2940606,0,0,785,40842,"",65.43,19.32,28.11,0.00,0.00,1.46,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","221","75","0","1990","A","","Grant County, Washington","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,72,2940606,0,0,785,40842,"",65.43,19.32,28.11,0.00,0.00,1.46,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","2211","76","0","1990","A","","Grant County, Washington","Federal Government","Power generation and supply","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,33,1630248,0,0,943,49030,"",29.38,9.33,16.23,0.00,0.00,1.73,1.73,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","22112","77","0","1990","A","","Grant County, Washington","Federal Government","Electric power transmission and distribution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,33,1630248,0,0,943,49030,"",40.84,22.46,38.27,0.00,0.00,1.69,1.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","221121","78","0","1990","A","","Grant County, Washington","Federal Government","Electric bulk power transmission and control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,33,1630248,0,0,943,49030,"",97.59,24.40,41.03,0.00,0.00,1.67,1.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","2213","76","0","1990","A","","Grant County, Washington","Federal Government","Water, sewage and other systems","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,39,1310358,0,0,650,33816,"",359.88,206.40,313.77,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","22131","77","0","1990","A","","Grant County, Washington","Federal Government","Water supply and irrigation systems","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,39,1310358,0,0,650,33816,"",359.88,206.40,313.77,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","221310","78","0","1990","A","","Grant County, Washington","Federal Government","Water supply and irrigation systems","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,39,1310358,0,0,650,33816,"",359.88,206.40,313.77,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","48-49","74","0","1990","A","","Grant County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,98,2681966,0,0,525,27274,"",1.85,0.59,0.71,0.00,0.00,1.20,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","491","75","0","1990","A","","Grant County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,98,2681966,0,0,525,27274,"",1.89,0.62,0.76,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","4911","76","0","1990","A","","Grant County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,98,2681966,0,0,525,27274,"",1.89,0.62,0.76,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53025","1","49111","77","0","1990","A","","Grant County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,98,2681966,0,0,525,27274,"",1.89,0.62,0.76,0.00,0.00,1.22,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
