"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53077","0","10","70","0","1990","A","","Yakima County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",6388,82083,1271409185,0,0,298,15489,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1505,30.8,6809,9.0,127558772,11.2,-638604912,-100.0,-22606746,-100.0,6,2.1,294,1.9
"53077","1","10","71","0","1990","A","","Yakima County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,1336,37051858,0,0,533,27730,"",1.32,0.55,0.77,0.00,0.00,1.39,1.39,"",1,1.6,-21,-1.5,823027,2.3,0,0.0,0,0.0,20,3.9,1033,3.9
"53077","1","102","72","0","1990","A","","Yakima County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",64,1336,37051858,0,0,533,27730,"",1.32,0.57,0.80,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","1021","73","0","1990","A","","Yakima County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",24,615,18166501,0,0,568,29539,"",1.29,0.85,1.24,0.00,0.00,1.45,1.45,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","1023","73","0","1990","A","","Yakima County, Washington","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,446320,0,0,429,22316,"",1.53,0.73,0.79,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","1024","73","0","1990","A","","Yakima County, Washington","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,26402,0,0,508,26402,"",0.89,0.02,0.03,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","1025","73","0","1990","A","","Yakima County, Washington","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,173,4595787,0,0,512,26629,"",8.10,0.87,1.14,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","1028","73","0","1990","A","","Yakima County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",30,522,13600288,0,0,501,26075,"",1.19,0.41,0.54,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","22","74","0","1990","A","","Yakima County, Washington","Federal Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",7,237,6721402,0,0,546,28370,"",30.21,16.05,17.43,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53077","1","221","75","0","1990","A","","Yakima County, Washington","Federal Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,237,6721402,0,0,546,28370,"",30.21,16.05,17.43,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
