"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54097","0","10","70","0","1990","A","","Upshur County, West Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",548,6591,121149213,0,0,353,18380,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",14,2.6,194,3.0,9802194,8.8,-36390918,-100.0,-868592,-100.0,19,5.7,974,5.6
"54097","1","10","71","0","1990","A","","Upshur County, West Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,59,1541244,0,0,507,26346,"",1.44,0.30,0.33,0.00,0.00,1.12,1.12,"",0,0.0,-4,-6.3,10894,0.7,0,0.0,0,0.0,40,8.6,2055,8.5
"54097","1","102","72","0","1990","A","","Upshur County, West Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,59,1541244,0,0,507,26346,"",1.45,0.32,0.35,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","1021","73","0","1990","A","","Upshur County, West Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,54,1417023,0,0,509,26486,"",2.51,0.93,1.01,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","1028","73","0","1990","A","","Upshur County, West Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,124221,0,0,478,24844,"",0.93,0.05,0.05,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","48-49","74","0","1990","A","","Upshur County, West Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,54,1417023,0,0,509,26486,"",2.59,1.02,1.07,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","491","75","0","1990","A","","Upshur County, West Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,54,1417023,0,0,509,26486,"",2.64,1.08,1.14,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","4911","76","0","1990","A","","Upshur County, West Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,54,1417023,0,0,509,26486,"",2.64,1.08,1.14,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","49111","77","0","1990","A","","Upshur County, West Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,54,1417023,0,0,509,26486,"",2.64,1.08,1.14,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","491110","78","0","1990","A","","Upshur County, West Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,54,1417023,0,0,509,26486,"",2.64,1.08,1.14,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","92","74","0","1990","A","","Upshur County, West Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,124221,0,0,478,24844,"",0.93,0.05,0.05,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","926","75","0","1990","A","","Upshur County, West Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,54277,0,0,522,27139,"",1.16,0.13,0.16,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","9261","76","0","1990","A","","Upshur County, West Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,54277,0,0,522,27139,"",1.16,0.13,0.16,0.00,0.00,1.25,1.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","92611","77","0","1990","A","","Upshur County, West Virginia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,54277,0,0,522,27139,"",3.85,0.24,0.45,0.00,0.00,1.84,1.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","1","926110","78","0","1990","A","","Upshur County, West Virginia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,54277,0,0,522,27139,"",3.85,0.24,0.45,0.00,0.00,1.84,1.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54097","2","10","71","0","1990","A","","Upshur County, West Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,224,4247340,0,0,365,19004,"",2.76,0.93,0.87,0.00,0.00,0.94,0.94,"",1,7.7,4,1.8,490762,13.1,-76348,-100.0,-380,-100.0,37,11.3,1929,11.3
