"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55055","0","10","70","0","1990","A","","Jefferson County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1478,29387,558259838,0,0,365,18997,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",71,5.0,1172,4.2,48345601,9.5,-214285396,-100.0,-6599267,-100.0,18,5.2,925,5.1
"55055","1","10","71","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,147,4110786,0,0,537,27933,"",1.07,0.17,0.19,0.00,0.00,1.15,1.15,"",0,0.0,-1,-0.7,368214,9.8,0,0.0,0,0.0,51,10.5,2646,10.5
"55055","1","102","72","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,147,4110786,0,0,537,27933,"",1.07,0.18,0.20,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","1021","73","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,137,3943100,0,0,555,28870,"",2.56,0.53,0.61,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","1028","73","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,11,167686,0,0,305,15844,"",0.17,0.02,0.02,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","48-49","74","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,137,3943100,0,0,555,28870,"",2.64,0.58,0.65,0.00,0.00,1.12,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","491","75","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,137,3943100,0,0,555,28870,"",2.70,0.61,0.69,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","4911","76","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,137,3943100,0,0,555,28870,"",2.70,0.61,0.69,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","49111","77","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,137,3943100,0,0,555,28870,"",2.70,0.61,0.69,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","491110","78","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,137,3943100,0,0,555,28870,"",2.70,0.61,0.69,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55055","1","92","74","0","1990","A","","Jefferson County, Wisconsin","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,11,167686,0,0,305,15844,"",0.17,0.02,0.02,0.00,0.00,0.65,0.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
