"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55059","0","10","70","0","1990","A","","Kenosha County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2332,40162,850148646,0,0,407,21168,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",174,8.1,1492,3.9,48666791,6.1,-303520650,-100.0,-10729898,-100.0,9,2.3,442,2.1
"55059","1","10","71","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,239,7561588,0,0,609,31661,"",0.79,0.20,0.23,0.00,0.00,1.17,1.16,"",0,0.0,-3,-1.2,843244,12.6,0,0.0,0,0.0,76,14.3,3900,14.0
"55059","1","102","72","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,239,7561588,0,0,609,31661,"",0.79,0.21,0.24,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","1021","73","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,221,6975395,0,0,608,31622,"",1.77,0.62,0.71,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","1028","73","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,18,586193,0,0,618,32120,"",0.22,0.03,0.03,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","48-49","74","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,221,6975395,0,0,608,31622,"",1.83,0.69,0.75,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","491","75","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,221,6975395,0,0,608,31622,"",1.86,0.72,0.80,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","4911","76","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,221,6975395,0,0,608,31622,"",1.86,0.72,0.80,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","49111","77","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,221,6975395,0,0,608,31622,"",1.86,0.72,0.80,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55059","1","491110","78","0","1990","A","","Kenosha County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,221,6975395,0,0,608,31622,"",1.86,0.72,0.80,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
