"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55125","0","10","70","0","1990","A","","Vilas County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",703,5125,69176888,0,0,260,13497,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",26,3.8,73,1.4,4260512,6.6,-36885144,-100.0,-1297711,-100.0,13,5.3,648,5.0
"55125","1","10","71","0","1990","A","","Vilas County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,48,1165155,0,0,466,24232,"",2.24,0.32,0.44,0.00,0.00,1.40,1.40,"",1,9.1,0,0.0,140504,13.7,0,0.0,0,0.0,56,13.7,2886,13.5
"55125","1","102","72","0","1990","A","","Vilas County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,48,1165155,0,0,466,24232,"",2.26,0.33,0.46,0.00,0.00,1.40,1.40,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","1021","73","0","1990","A","","Vilas County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",11,47,1091540,0,0,446,23183,"",5.39,1.04,1.37,0.00,0.00,1.31,1.31,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","1028","73","0","1990","A","","Vilas County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,73615,0,0,1416,73615,"",0.36,0.01,0.05,0.00,0.00,4.23,4.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","48-49","74","0","1990","A","","Vilas County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",11,47,1091540,0,0,446,23183,"",5.56,1.15,1.45,0.00,0.00,1.26,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","491","75","0","1990","A","","Vilas County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,47,1091540,0,0,446,23183,"",5.67,1.21,1.54,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","4911","76","0","1990","A","","Vilas County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",11,47,1091540,0,0,446,23183,"",5.67,1.21,1.54,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","49111","77","0","1990","A","","Vilas County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",11,47,1091540,0,0,446,23183,"",5.67,1.21,1.54,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55125","1","491110","78","0","1990","A","","Vilas County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",11,47,1091540,0,0,446,23183,"",5.67,1.21,1.54,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
