"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56029","0","10","70","0","1990","A","","Park County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1044,9711,170825601,0,0,338,17590,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-39,-3.6,85,0.9,2963577,1.8,-60398248,-100.0,-2026065,-100.0,3,0.9,152,0.9
"56029","1","10","71","0","1990","A","","Park County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",23,790,20013837,0,0,487,25323,"",2.89,2.75,3.08,0.00,0.00,1.12,1.12,"",0,0.0,16,2.1,613920,3.2,0,0.0,0,0.0,5,1.0,259,1.0
"56029","1","102","72","0","1990","A","","Park County, Wyoming","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",23,790,20013837,0,0,487,25323,"",2.91,2.87,3.22,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","1021","73","0","1990","A","","Park County, Wyoming","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,63,1709394,0,0,524,27241,"",1.98,0.74,0.87,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","1023","73","0","1990","A","","Park County, Wyoming","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,104968,0,0,484,25192,"",3.13,1.24,1.37,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","1026","73","0","1990","A","","Park County, Wyoming","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,530,12923323,0,0,469,24387,"",6.64,90.53,201.47,0.00,0.00,2.23,2.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","1028","73","0","1990","A","","Park County, Wyoming","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,194,5276152,0,0,524,27267,"",3.65,1.30,1.57,0.00,0.00,1.21,1.20,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","48-49","74","0","1990","A","","Park County, Wyoming","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,63,1709394,0,0,524,27241,"",2.04,0.81,0.92,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","491","75","0","1990","A","","Park County, Wyoming","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,63,1709394,0,0,524,27241,"",2.08,0.85,0.98,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","4911","76","0","1990","A","","Park County, Wyoming","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,63,1709394,0,0,524,27241,"",2.08,0.85,0.98,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","49111","77","0","1990","A","","Park County, Wyoming","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,63,1709394,0,0,524,27241,"",2.08,0.85,0.98,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","491110","78","0","1990","A","","Park County, Wyoming","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,63,1709394,0,0,524,27241,"",2.08,0.85,0.98,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","52","74","0","1990","A","","Park County, Wyoming","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,104968,0,0,484,25192,"",3.14,1.26,1.39,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","522","75","0","1990","A","","Park County, Wyoming","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,104968,0,0,484,25192,"",3.66,3.34,4.71,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","5222","76","0","1990","A","","Park County, Wyoming","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,104968,0,0,484,25192,"",3.67,3.35,4.72,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56029","1","52229","77","0","1990","A","","Park County, Wyoming","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,104968,0,0,484,25192,"",3.67,3.35,4.72,0.00,0.00,1.35,1.35,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
