"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56035","0","10","70","0","1990","A","","Sublette County, Wyoming","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",275,1764,32075902,0,0,350,18187,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,5.0,-46,-2.5,-2418920,-7.0,-12949071,-100.0,-532219,-100.0,-16,-4.4,-870,-4.6
"56035","1","10","71","0","1990","A","","Sublette County, Wyoming","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,92,2201760,0,0,460,23932,"",5.25,1.76,1.81,0.00,0.00,1.02,1.02,"",1,10.0,10,12.2,300232,15.8,0,0.0,0,0.0,15,3.4,743,3.2
"56035","1","102","72","0","1990","A","","Sublette County, Wyoming","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,92,2201760,0,0,460,23932,"",5.28,1.84,1.89,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","1021","73","0","1990","A","","Sublette County, Wyoming","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,16,323134,0,0,397,20626,"",5.01,1.03,0.87,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","1028","73","0","1990","A","","Sublette County, Wyoming","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,74,1829094,0,0,474,24634,"",5.55,2.74,2.89,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","48-49","74","0","1990","A","","Sublette County, Wyoming","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,323134,0,0,397,20626,"",5.17,1.13,0.92,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","491","75","0","1990","A","","Sublette County, Wyoming","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,323134,0,0,397,20626,"",5.27,1.19,0.98,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","4911","76","0","1990","A","","Sublette County, Wyoming","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,323134,0,0,397,20626,"",5.27,1.19,0.98,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","49111","77","0","1990","A","","Sublette County, Wyoming","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,16,323134,0,0,397,20626,"",5.27,1.19,0.98,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","491110","78","0","1990","A","","Sublette County, Wyoming","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,16,323134,0,0,397,20626,"",5.27,1.19,0.98,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","92","74","0","1990","A","","Sublette County, Wyoming","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,74,1829094,0,0,474,24634,"",5.55,2.74,2.89,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","924","75","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,71,1753780,0,0,474,24672,"",14.02,38.41,41.58,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","9241","76","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,71,1753780,0,0,474,24672,"",14.02,38.41,41.58,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","92412","77","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,71,1753780,0,0,474,24672,"",14.23,44.32,50.30,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","924120","78","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,71,1753780,0,0,474,24672,"",14.23,44.32,50.30,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","926","75","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,75314,0,0,457,23783,"",4.61,0.71,0.83,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","9261","76","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,75314,0,0,457,23783,"",4.61,0.71,0.83,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","92611","77","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,4178,0,0,69,3581,"",7.68,0.46,0.13,0.00,0.00,0.25,0.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","926110","78","0","1990","A","","Sublette County, Wyoming","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,4178,0,0,69,3581,"",7.68,0.46,0.13,0.00,0.00,0.25,0.25,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","92614","77","0","1990","A","","Sublette County, Wyoming","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,71136,0,0,684,35568,"",4.02,2.38,3.50,0.00,0.00,1.47,1.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","1","926140","78","0","1990","A","","Sublette County, Wyoming","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,71136,0,0,684,35568,"",4.02,2.38,3.50,0.00,0.00,1.47,1.47,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","2","10","71","0","1990","A","","Sublette County, Wyoming","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,72,1517451,0,0,405,21051,"",3.15,1.12,1.17,0.00,0.00,1.05,1.05,"N",8,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","2","102","72","0","1990","A","","Sublette County, Wyoming","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,50,1032047,0,0,401,20849,"",2.84,0.80,0.82,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","3","10","71","0","1990","A","","Sublette County, Wyoming","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,354,6057722,0,0,329,17112,"",2.35,2.06,1.94,0.00,0.00,0.94,0.94,"",0,0.0,10,2.9,-395618,-6.1,-938727,-100.0,-25243,-100.0,-31,-8.6,-1647,-8.8
"56035","3","1028","73","0","1990","A","","Sublette County, Wyoming","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,98,1518743,0,0,299,15537,"",2.47,1.95,1.63,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","3","92","74","0","1990","A","","Sublette County, Wyoming","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,98,1518743,0,0,299,15537,"",2.47,1.95,1.63,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","5","10","71","0","1990","A","","Sublette County, Wyoming","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",246,1246,22298969,0,0,344,17902,"",0.93,0.84,0.84,0.00,0.00,1.00,1.00,"",14,6.0,-70,-5.3,-2444361,-9.9,-12010344,-100.0,-506976,-100.0,-17,-4.7,-899,-4.8
"56035","5","101","72","0","1990","A","","Sublette County, Wyoming","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",80,474,11540290,0,0,468,24325,"",1.51,1.18,1.37,0.00,0.00,1.16,1.16,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","5","1011","73","0","1990","A","","Sublette County, Wyoming","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",35,286,7580740,0,0,509,26468,"",6.19,10.11,15.24,0.00,0.00,1.50,1.50,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56035","5","1012","73","0","1990","A","","Sublette County, Wyoming","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",41,168,3726907,0,0,426,22129,"",1.37,2.00,2.18,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
