"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72054","0","10","70","0","1990","A","","Florida Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",68,752,7174284,0,0,184,9547,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","10","71","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",1.93,0.18,0.53,0.00,0.00,2.93,2.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","102","72","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",1.94,0.19,0.55,0.00,0.00,2.93,2.94,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","1021","73","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",5.07,0.60,1.74,0.00,0.00,2.87,2.88,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","48-49","74","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",5.22,0.66,1.84,0.00,0.00,2.76,2.76,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","491","75","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",5.33,0.70,1.96,0.00,0.00,2.79,2.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","4911","76","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",5.33,0.70,1.96,0.00,0.00,2.79,2.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","49111","77","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",5.33,0.70,1.96,0.00,0.00,2.79,2.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","1","491110","78","0","1990","A","","Florida Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,143950,0,0,692,35988,"",5.33,0.70,1.96,0.00,0.00,2.79,2.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","2","1028","73","0","1990","A","","Florida Municipio, Puerto Rico","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,154,1349054,0,0,169,8765,"",17.83,13.78,10.82,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","2","92","74","0","1990","A","","Florida Municipio, Puerto Rico","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,154,1349054,0,0,169,8765,"",17.83,13.78,10.82,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","10","71","0","1990","A","","Florida Municipio, Puerto Rico","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",55,218,1903759,0,0,168,8733,"",0.84,0.35,0.32,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","101","72","0","1990","A","","Florida Municipio, Puerto Rico","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",27,114,836987,0,0,141,7342,"",2.06,0.67,0.44,0.00,0.00,0.66,0.66,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","1013","73","0","1990","A","","Florida Municipio, Puerto Rico","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",4,59,637784,0,0,207,10779,"",0.92,0.48,0.46,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","102","72","0","1990","A","","Florida Municipio, Puerto Rico","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,104,1066772,0,0,197,10257,"",0.55,0.23,0.27,0.00,0.00,1.16,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","1021","73","0","1990","A","","Florida Municipio, Puerto Rico","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",20,54,401081,0,0,144,7497,"",1.12,0.35,0.30,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","1025","73","0","1990","A","","Florida Municipio, Puerto Rico","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,28,414694,0,0,282,14679,"",0.69,0.38,0.61,0.00,0.00,1.59,1.60,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","31-33","74","0","1990","A","","Florida Municipio, Puerto Rico","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,59,637784,0,0,207,10779,"",0.92,0.48,0.46,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","44-45","74","0","1990","A","","Florida Municipio, Puerto Rico","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",19,41,255541,0,0,121,6271,"",1.80,0.44,0.44,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","62","74","0","1990","A","","Florida Municipio, Puerto Rico","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",4,28,414694,0,0,282,14679,"",0.74,0.43,0.69,0.00,0.00,1.57,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72054","5","621","75","0","1990","A","","Florida Municipio, Puerto Rico","Private","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,28,414694,0,0,282,14679,"",0.94,1.36,1.53,0.00,0.00,1.11,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
