"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72087","0","10","70","0","1990","A","","Loiza Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",64,1716,17179074,0,0,193,10014,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","10","71","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",1,4,155377,0,0,732,38052,"",2.05,0.08,0.24,0.00,0.00,2.95,2.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","102","72","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",1,4,155377,0,0,732,38052,"",2.06,0.08,0.25,0.00,0.00,2.96,2.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","1021","73","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,150036,0,0,721,37509,"",5.38,0.26,0.76,0.00,0.00,2.85,2.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","1028","73","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",0,0,5341,0,0,1233,64092,"",0.00,0.00,0.02,0.00,0.00,4.97,4.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","48-49","74","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,150036,0,0,721,37509,"",5.55,0.29,0.80,0.00,0.00,2.74,2.75,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","491","75","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,150036,0,0,721,37509,"",5.66,0.31,0.85,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","4911","76","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,150036,0,0,721,37509,"",5.66,0.31,0.85,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","49111","77","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,150036,0,0,721,37509,"",5.66,0.31,0.85,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","491110","78","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,150036,0,0,721,37509,"",5.66,0.31,0.85,0.00,0.00,2.77,2.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","92","74","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,5341,0,0,1233,64092,"",0.00,0.00,0.02,0.00,0.00,4.97,4.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","926","75","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,5341,0,0,1233,64092,"",0.00,0.00,0.11,0.00,0.00,5.42,5.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","1","9261","76","0","1990","A","","Loiza Municipio, Puerto Rico","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",0,0,5341,0,0,1233,64092,"",0.00,0.00,0.11,0.00,0.00,5.42,5.43,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","2","1028","73","0","1990","A","","Loiza Municipio, Puerto Rico","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,385,3557693,0,0,178,9233,"",23.68,15.10,11.92,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","2","92","74","0","1990","A","","Loiza Municipio, Puerto Rico","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,385,3557693,0,0,178,9233,"",23.68,15.10,11.92,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","5","10","71","0","1990","A","","Loiza Municipio, Puerto Rico","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",47,746,7738891,0,0,200,10377,"",0.76,0.52,0.55,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","5","101","72","0","1990","A","","Loiza Municipio, Puerto Rico","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",11,454,4545132,0,0,193,10021,"",0.89,1.16,1.00,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","5","102","72","0","1990","A","","Loiza Municipio, Puerto Rico","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",36,292,3193759,0,0,210,10931,"",0.73,0.28,0.33,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","5","1021","73","0","1990","A","","Loiza Municipio, Puerto Rico","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",18,75,702051,0,0,180,9350,"",1.07,0.21,0.22,0.00,0.00,1.04,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72087","5","1023","73","0","1990","A","","Loiza Municipio, Puerto Rico","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",4,33,414394,0,0,241,12557,"",0.72,0.31,0.32,0.00,0.00,1.03,1.04,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
