"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72129","0","10","70","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",283,4527,46320661,0,0,197,10232,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","10","71","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,17,490428,0,0,560,29134,"",1.39,0.13,0.28,0.00,0.00,2.21,2.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","102","72","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,17,490428,0,0,560,29134,"",1.40,0.13,0.29,0.00,0.00,2.22,2.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","1021","73","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,9,314226,0,0,684,35573,"",1.22,0.23,0.59,0.00,0.00,2.65,2.65,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","48-49","74","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,314226,0,0,684,35573,"",1.25,0.25,0.62,0.00,0.00,2.55,2.55,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","491","75","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,314226,0,0,684,35573,"",1.28,0.26,0.66,0.00,0.00,2.57,2.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","4911","76","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,314226,0,0,684,35573,"",1.28,0.26,0.66,0.00,0.00,2.57,2.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","49111","77","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,314226,0,0,684,35573,"",1.28,0.26,0.66,0.00,0.00,2.57,2.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","1","491110","78","0","1990","A","","San Lorenzo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,314226,0,0,684,35573,"",1.28,0.26,0.66,0.00,0.00,2.57,2.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72129","2","1028","73","0","1990","A","","San Lorenzo Municipio, Puerto Rico","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,411,3271606,0,0,153,7962,"",4.28,6.11,4.06,0.00,0.00,0.66,0.67,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
