"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"78000","0","10","50","0","1990","A","","Virgin Islands -- Statewide","Total Covered","Total, all industries","State, Total Covered","All establishment sizes",3369,43062,890769186,0,0,398,20686,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","10","51","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Total, all industries","State, Total -- by ownership sector","All establishment sizes",37,878,27519977,0,0,603,31347,"",1.44,0.69,0.81,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","102","52","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Service-providing","State, by Domain -- by ownership sector","All establishment sizes",37,878,27519977,0,0,603,31347,"",1.45,0.72,0.85,0.00,0.00,1.18,1.18,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","1021","53","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Trade, transportation, and utilities","State, by Supersector -- by ownership sector","All establishment sizes",7,259,9268027,0,0,688,35795,"",0.72,0.68,0.90,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","1023","53","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Financial activities","State, by Supersector -- by ownership sector","All establishment sizes",2,12,279101,0,0,463,24095,"",1.94,0.84,0.70,0.00,0.00,0.87,0.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","1028","53","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Public administration","State, by Supersector -- by ownership sector","All establishment sizes",28,607,17972849,0,0,569,29589,"",2.11,0.92,1.02,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","48-49","54","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Transportation and warehousing","State, NAICS Sector -- by ownership sector","All establishment sizes",7,259,9268027,0,0,688,35795,"",0.74,0.75,0.95,0.00,0.00,1.27,1.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","488","55","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Support activities for transportation","State, NAICS 3-digit -- by ownership sector","All establishment sizes",2,19,879210,0,0,906,47101,"",11.92,1.59,1.92,0.00,0.00,1.23,1.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","4881","56","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Support activities for air transportation","State, NAICS 4-digit -- by ownership sector","All establishment sizes",2,19,879210,0,0,906,47101,"",12.04,1.66,1.98,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78000","1","48811","57","0","1990","A","","Virgin Islands -- Statewide","Federal Government","Airport operations","State, NAICS 5-digit -- by ownership sector","All establishment sizes",2,19,879210,0,0,906,47101,"",12.04,1.66,1.98,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
