"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"78010","0","10","70","0","1990","A","","St. Croix, Virgin Islands","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1351,17477,386564886,0,0,425,22118,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","10","71","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,348,10086806,0,0,557,28978,"",1.46,0.67,0.69,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","102","72","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,348,10086806,0,0,557,28978,"",1.47,0.70,0.72,0.00,0.00,1.02,1.02,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","1021","73","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,121,4324663,0,0,690,35865,"",1.02,0.79,0.97,0.00,0.00,1.24,1.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","1023","73","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,194133,0,0,453,23531,"",2.42,1.37,1.12,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","1028","73","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,219,5568010,0,0,488,25396,"",1.88,0.82,0.73,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","48-49","74","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,121,4324663,0,0,690,35865,"",1.05,0.87,1.02,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","488","75","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,259301,0,0,855,44452,"",14.87,1.24,1.30,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","4881","76","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,259301,0,0,855,44452,"",15.02,1.29,1.34,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","48811","77","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,259301,0,0,855,44452,"",15.02,1.29,1.34,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","488111","78","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Air traffic control","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,259301,0,0,855,44452,"",15.27,1.36,1.36,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","491","75","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,115,4065362,0,0,681,35428,"",0.80,0.87,1.03,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","4911","76","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,115,4065362,0,0,681,35428,"",0.80,0.87,1.03,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","49111","77","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,115,4065362,0,0,681,35428,"",0.80,0.87,1.03,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","491110","78","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,115,4065362,0,0,681,35428,"",0.80,0.87,1.03,0.00,0.00,1.19,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","52","74","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,194133,0,0,453,23531,"",2.43,1.40,1.13,0.00,0.00,0.79,0.79,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","522","75","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,194133,0,0,453,23531,"",2.83,3.71,3.85,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","5222","76","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,194133,0,0,453,23531,"",2.83,3.72,3.86,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","52229","77","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,194133,0,0,453,23531,"",2.83,3.72,3.86,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","522298","78","0","1990","A","","St. Croix, Virgin Islands","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,194133,0,0,453,23531,"",8.86,11.43,11.41,0.00,0.00,0.97,0.97,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","92","74","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,219,5568010,0,0,488,25396,"",1.88,0.82,0.73,0.00,0.00,0.89,0.89,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","921","75","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,13199,0,0,609,31678,"",2.34,0.00,0.01,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","9211","76","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,13199,0,0,609,31678,"",2.34,0.00,0.01,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","92113","77","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,13199,0,0,609,31678,"",3.68,0.00,0.02,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","921130","78","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,13199,0,0,609,31678,"",3.68,0.00,0.02,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","922","75","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,45,1365900,0,0,585,30410,"",5.25,2.56,2.31,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","9221","76","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,45,1365900,0,0,585,30410,"",5.25,2.56,2.31,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","92213","77","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,1056750,0,0,753,39139,"",19.44,3.91,4.46,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","922130","78","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,1056750,0,0,753,39139,"",19.44,3.91,4.46,0.00,0.00,1.14,1.14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78010","1","92219","77","0","1990","A","","St. Croix, Virgin Islands","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,18,309150,0,0,332,17255,"",18.55,42.42,21.75,0.00,0.00,0.52,0.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
