"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"78020","0","10","70","0","1990","A","","St. John, Virgin Islands","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",130,1507,23340649,0,0,298,15484,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","10","71","0","1990","A","","St. John, Virgin Islands","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,8,270920,0,0,680,35337,"",2.02,0.18,0.31,0.00,0.00,1.78,1.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","102","72","0","1990","A","","St. John, Virgin Islands","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,8,270920,0,0,680,35337,"",2.03,0.19,0.32,0.00,0.00,1.78,1.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","1021","73","0","1990","A","","St. John, Virgin Islands","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,217250,0,0,627,32588,"",2.65,0.53,0.81,0.00,0.00,1.61,1.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","1028","73","0","1990","A","","St. John, Virgin Islands","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,53670,0,0,1032,53670,"",1.96,0.04,0.12,0.00,0.00,2.69,2.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","48-49","74","0","1990","A","","St. John, Virgin Islands","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,217250,0,0,627,32588,"",2.73,0.58,0.85,0.00,0.00,1.54,1.54,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","491","75","0","1990","A","","St. John, Virgin Islands","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,217250,0,0,627,32588,"",2.79,0.61,0.91,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","4911","76","0","1990","A","","St. John, Virgin Islands","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,217250,0,0,627,32588,"",2.79,0.61,0.91,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","49111","77","0","1990","A","","St. John, Virgin Islands","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,217250,0,0,627,32588,"",2.79,0.61,0.91,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","491110","78","0","1990","A","","St. John, Virgin Islands","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,217250,0,0,627,32588,"",2.79,0.61,0.91,0.00,0.00,1.56,1.56,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","92","74","0","1990","A","","St. John, Virgin Islands","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,53670,0,0,1032,53670,"",1.96,0.04,0.12,0.00,0.00,2.69,2.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","922","75","0","1990","A","","St. John, Virgin Islands","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,53670,0,0,1032,53670,"",27.29,0.66,1.50,0.00,0.00,2.27,2.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","9221","76","0","1990","A","","St. John, Virgin Islands","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,53670,0,0,1032,53670,"",27.29,0.66,1.50,0.00,0.00,2.27,2.27,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","92213","77","0","1990","A","","St. John, Virgin Islands","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,53670,0,0,1032,53670,"",202.00,1.68,3.75,0.00,0.00,2.23,2.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","1","922130","78","0","1990","A","","St. John, Virgin Islands","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,53670,0,0,1032,53670,"",202.00,1.68,3.75,0.00,0.00,2.23,2.23,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","10","71","0","1990","A","","St. John, Virgin Islands","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",128,1500,23069729,0,0,296,15382,"",1.02,1.19,1.20,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","101","72","0","1990","A","","St. John, Virgin Islands","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",18,44,1196914,0,0,523,27203,"",0.72,0.13,0.19,0.00,0.00,1.52,1.52,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","1012","73","0","1990","A","","St. John, Virgin Islands","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",13,31,1010118,0,0,633,32939,"",0.92,0.43,0.81,0.00,0.00,1.90,1.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","102","72","0","1990","A","","St. John, Virgin Islands","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",110,1456,21872815,0,0,289,15025,"",1.09,1.59,1.67,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","1021","73","0","1990","A","","St. John, Virgin Islands","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",39,226,3256635,0,0,277,14405,"",1.14,0.72,0.75,0.00,0.00,1.03,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","1023","73","0","1990","A","","St. John, Virgin Islands","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",17,65,1100893,0,0,324,16850,"",1.51,0.69,0.63,0.00,0.00,0.90,0.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","1025","73","0","1990","A","","St. John, Virgin Islands","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,16,248348,0,0,294,15283,"",0.54,0.11,0.11,0.00,0.00,1.02,1.03,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","1026","73","0","1990","A","","St. John, Virgin Islands","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",28,1088,16144204,0,0,285,14841,"",2.67,8.32,18.47,0.00,0.00,2.22,2.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","1027","73","0","1990","A","","St. John, Virgin Islands","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",4,17,395289,0,0,441,22915,"",0.28,0.35,0.80,0.00,0.00,2.22,2.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","23","74","0","1990","A","","St. John, Virgin Islands","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",13,31,1010118,0,0,633,32939,"",0.92,0.43,0.81,0.00,0.00,1.90,1.91,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","44-45","74","0","1990","A","","St. John, Virgin Islands","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",27,129,1959162,0,0,292,15207,"",1.34,0.69,1.03,0.00,0.00,1.49,1.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","448","75","0","1990","A","","St. John, Virgin Islands","Private","Clothing and clothing accessories stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,54,830259,0,0,295,15328,"",3.12,2.86,5.37,0.00,0.00,1.87,1.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","531","75","0","1990","A","","St. John, Virgin Islands","Private","Real estate","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,20,435300,0,0,420,21856,"",2.34,1.24,1.94,0.00,0.00,1.58,1.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","5311","76","0","1990","A","","St. John, Virgin Islands","Private","Lessors of real estate","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,10,233078,0,0,448,23308,"",1.76,1.19,2.32,0.00,0.00,1.95,1.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","56","74","0","1990","A","","St. John, Virgin Islands","Private","Administrative and waste services","County, NAICS Sector -- by ownership sector","All establishment sizes",4,12,132989,0,0,219,11399,"",0.70,0.19,0.20,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","62","74","0","1990","A","","St. John, Virgin Islands","Private","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",4,10,144157,0,0,289,15042,"",0.39,0.08,0.07,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","721","75","0","1990","A","","St. John, Virgin Islands","Private","Accommodation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,893,14397875,0,0,310,16119,"",6.74,39.76,75.43,0.00,0.00,1.90,1.90,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","7221","76","0","1990","A","","St. John, Virgin Islands","Private","Full-service restaurants","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,145,1264210,0,0,168,8744,"",3.31,3.93,6.00,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","72211","77","0","1990","A","","St. John, Virgin Islands","Private","Full-service restaurants","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,145,1264210,0,0,168,8744,"",3.31,3.93,6.00,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","722110","78","0","1990","A","","St. John, Virgin Islands","Private","Full-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,145,1264210,0,0,168,8744,"",3.31,3.93,6.00,0.00,0.00,1.53,1.53,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","7222","76","0","1990","A","","St. John, Virgin Islands","Private","Limited-service eating places","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,26,178064,0,0,133,6938,"",2.57,0.70,0.94,0.00,0.00,1.35,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","72221","77","0","1990","A","","St. John, Virgin Islands","Private","Limited-service eating places","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,26,178064,0,0,133,6938,"",2.57,0.70,0.94,0.00,0.00,1.35,1.36,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","722211","78","0","1990","A","","St. John, Virgin Islands","Private","Limited-service restaurants","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,25,175789,0,0,133,6916,"",3.26,0.80,1.12,0.00,0.00,1.38,1.38,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78020","5","81","74","0","1990","A","","St. John, Virgin Islands","Private","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,17,395289,0,0,441,22915,"",0.28,0.35,0.80,0.00,0.00,2.22,2.22,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
