"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2106","0","10","40","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",1782,33911,593755666,0,0,337,17509,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","1","10","41","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",38,6677,139270773,0,0,401,20858,"",2.80,6.65,6.17,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","2","10","41","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",56,911,18491975,0,0,390,20289,"",3.40,0.74,0.77,0.00,0.00,1.05,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","3","10","41","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",34,3772,75940748,0,0,387,20135,"",1.12,1.14,1.31,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","10","41","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",1654,22551,360052170,0,0,307,15966,"",0.96,0.79,0.74,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","101","42","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",306,6760,145031159,0,0,413,21456,"",0.89,0.88,0.93,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1011","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",15,64,1198395,0,0,359,18652,"",0.41,0.12,0.13,0.00,0.00,1.10,1.10,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1012","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",213,1354,22843252,0,0,324,16870,"",1.10,0.84,0.72,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1013","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",78,5341,120989512,0,0,436,22652,"",0.69,0.96,1.05,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","102","42","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1349,15791,215021011,0,0,262,13617,"",0.98,0.76,0.65,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1021","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",506,6345,83736566,0,0,254,13197,"",1.08,0.90,0.76,0.00,0.00,0.84,0.84,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1023","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",145,1269,20902824,0,0,317,16473,"",0.94,0.60,0.47,0.00,0.00,0.78,0.78,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1024","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",169,1179,19134623,0,0,312,16226,"",0.73,0.36,0.29,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1025","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",175,1882,39788218,0,0,407,21145,"",1.15,0.56,0.71,0.00,0.00,1.25,1.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1026","43","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",145,3395,23810837,0,0,135,7013,"",1.01,1.15,1.07,0.00,0.00,0.93,0.93,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","1114","46","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Greenhouse and nursery production","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,66838,0,0,147,7639,"",1.31,0.19,0.13,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","11142","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Nursery and floriculture production","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",3,9,66838,0,0,147,7639,"",1.38,0.22,0.15,0.00,0.00,0.70,0.70,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","23","44","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Construction","MSA, NAICS Sector -- by ownership sector","All establishment sizes",213,1354,22843252,0,0,324,16870,"",1.10,0.84,0.72,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","2361","46","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Residential building construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",48,172,2379936,0,0,266,13837,"",1.08,0.92,0.74,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","23611","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Residential building construction","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",48,172,2379936,0,0,266,13837,"",1.08,0.92,0.74,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","2371","46","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Utility system construction","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",15,176,3168875,0,0,345,17962,"",2.31,1.72,1.48,0.00,0.00,0.86,0.86,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","238","45","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Specialty trade contractors","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",118,657,9893363,0,0,290,15066,"",1.01,0.70,0.56,0.00,0.00,0.81,0.81,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","2381","46","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Building foundation and exterior contractors","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",32,177,2142854,0,0,232,12084,"",1.23,0.87,0.64,0.00,0.00,0.74,0.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","23811","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Poured concrete structure contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",4,30,522169,0,0,332,17262,"",1.03,0.85,0.92,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","23814","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Masonry contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",16,55,484264,0,0,170,8858,"",1.96,1.04,0.59,0.00,0.00,0.56,0.57,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","238141","48","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Residential masonry contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",12,46,380771,0,0,161,8369,"",2.00,1.53,0.89,0.00,0.00,0.59,0.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","238142","48","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Nonresidential masonry contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",4,9,103493,0,0,217,11290,"",1.87,0.40,0.26,0.00,0.00,0.64,0.64,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","23816","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Roofing contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",4,34,395060,0,0,224,11648,"",0.78,0.72,0.55,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","238222","48","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Nonresidential plumbing and hvac contractors","MSA, NAICS 6-digit -- by ownership sector","All establishment sizes",12,130,2085667,0,0,308,15992,"",1.89,1.41,0.98,0.00,0.00,0.69,0.69,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","23835","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Finish carpentry contractors","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",9,22,191868,0,0,170,8855,"",1.39,0.75,0.43,0.00,0.00,0.58,0.58,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","31-33","44","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Manufacturing","MSA, NAICS Sector -- by ownership sector","All establishment sizes",78,5341,120989512,0,0,436,22652,"",0.69,0.96,1.05,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","321","45","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Wood product manufacturing","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",5,130,1577703,0,0,233,12097,"",0.91,0.76,0.61,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","323","45","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Printing and related support activities","MSA, NAICS 3-digit -- by ownership sector","All establishment sizes",8,297,6062303,0,0,392,20395,"",0.56,1.14,1.23,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","3231","46","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Printing and related support activities","MSA, NAICS 4-digit -- by ownership sector","All establishment sizes",8,297,6062303,0,0,392,20395,"",0.56,1.14,1.23,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2106","5","32311","47","0","1990","A","","Elizabethtown-Fort Knox, KY MSA","Private","Printing","MSA, NAICS 5-digit -- by ownership sector","All establishment sizes",8,297,6062303,0,0,392,20395,"",0.64,1.29,1.40,0.00,0.00,1.09,1.09,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
